Grade Distribution for Fall 2012 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2012 Fall,Anthropology,ANTHRO,Anthropology,189,005,Spec Top:Soc/Cult,Arpita Roy,03464,4,7,6,7,1,,,,,,,,,2,,,,,27
2012 Fall,Anthropology,ANTHRO,Anthropology,189,006,Spec Top:Soc/Cult,Clara Mantini-Briggs,03467,18,2,,,,,,,,,,,1,1,,,,,22
2012 Fall,Anthropology,ANTHRO,Anthropology,196,001,Undergrad Sem,Spyridon Koutroufinis; Terrence Deacon,02849,1,8,3,3,,,,,,,,,,1,,,,,16
2012 Fall,Anthropology,ANTHRO,Anthropology,196,002,Undergrad Sem,James Holston,02852,,6,5,2,,,,,,,,,,,1,,,,14
2012 Fall,Anthropology,ANTHRO,Anthropology,196,003,Undergrad Sem,Tim Gill,02854,,7,5,3,,,,,,,,,,,,,,,15
2012 Fall,Architecture,ARCH,Architecture,100A,001,Fund Of Arch Design,Lisa Iwamoto,03615,1,3,20,13,25,28,23,18,11,7,1,,4,1,,2,,1,158
2012 Fall,Architecture,ARCH,Architecture,101,001,Case Stds In Arch,Darell Fields,03651,,1,5,,2,,,,,,,,,5,,,,,13
2012 Fall,Architecture,ARCH,Architecture,101,002,Case Stds In Arch,Maria Paz Gutierrez,03657,2,5,2,2,1,,,,,,,,,,,,,,12
2012 Fall,Architecture,ARCH,Architecture,101,003,Case Stds In Arch,Jean Bourdier,03661,1,7,3,3,,,,,,,,,,1,,,,,15
2012 Fall,Architecture,ARCH,Architecture,110AC,001,Soc/Cult Bas Dsgn,Galen Cranz,03663,1,22,28,19,21,14,7,6,2,,,,,17,,3,,,140
2012 Fall,Architecture,ARCH,Architecture,130,001,Intr Arch Des Th/Cr,C Crysler,03686,3,8,13,11,13,8,1,1,2,1,1,,1,1,,1,,1,66
2012 Fall,Architecture,ARCH,Architecture,144,001,Intro To Acoustics,Charles Salter,03690,,,,,,,,,,,,,,27,,1,,,28
2012 Fall,Architecture,ARCH,Architecture,150,001,Intro To Structures,R.Gary Black,03693,2,17,20,14,26,13,12,15,4,,,,4,5,,4,,,136
2012 Fall,Architecture,ARCH,Architecture,170A,001,"Hist, Arch&Urbanism",Andrew Shanken,03711,,6,27,42,42,44,21,12,5,1,2,,4,8,,2,,,216
2012 Fall,Architecture,ENV DES,Environmental Design,1,001,People & Env Des,Linda Jewell,28803,7,31,12,18,25,2,3,,,,,,,8,,,,2,108
2012 Fall,Architecture,ENV DES,Environmental Design,11A,001,Intro Vis Rep Draw,Darell Fields,28821,,7,6,7,6,3,5,1,,,,,1,2,,,,1,39
