UC Berkeley Fall 2007 Course Grades,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
CELTIC, 129,001,MOD CELTIC CULTURES,"KLAR, K A         ",1,10,3,4,2,0,0,0,0,0,0,0,1
CELTIC, 139,001,IRISH LITERATURE   ,"MELIA, D F        ",0,3,7,2,1,4,1,0,0,0,0,0,0
CELTIC,R001A,001,VOICES/CELTIC WORLD,"STARR-REID, K A   ",0,4,5,5,3,1,0,0,0,0,0,0,0
CELTIC,R001B,001,VOICES/CELTIC WORLD,"STARR-REID, K A   ",2,2,7,4,2,0,0,0,0,0,0,0,0
CHEM, 001A,001,GENERAL CHEMISTRY  ,"NITSCHE, H        ",10,121,74,26,85,7,7,35,2,0,8,0,3
CHEM, 001A,002,GENERAL CHEMISTRY  ,"NITSCHE, H        ",11,106,51,25,64,8,6,15,0,0,6,0,1
CHEM, 001B,001,GENERAL CHEMISTRY  ,"SAYKALLY, R J     ",1,16,5,9,17,14,3,30,12,2,3,4,4
CHEM, 003A,001,CHEM STRUCT REACT  ,"FRECHET, J        ",27,44,54,35,30,39,26,30,64,0,15,0,26
CHEM, 003A,002,CHEM STRUCT REACT  ,"FRECHET, J        ",25,50,71,45,59,55,35,44,59,0,32,0,25
CHEM, 003AL,001,ORGANIC CHEM LAB   ,"LI, C             ",134,212,38,6,3,2,0,0,0,0,0,0,3
CHEM, 003AL,002,ORGANIC CHEM LAB   ,"LI, C             ",132,276,64,7,6,1,1,0,0,0,0,0,3
CHEM, 003B,001,CHEM STRUCT REACT  ,"PEDERSEN, S F     ",14,63,35,69,67,48,67,65,33,0,7,0,38
CHEM, 003BL,001,ORGANIC CHEM LAB   ,"PEDERSEN, S F     ",11,70,183,38,31,10,9,2,1,4,0,0,3
CHEM, 004B,001,GEN CHM QUANT ANALY,"MORETTO, L G      ",4,26,0,49,32,9,5,14,0,0,2,0,1
CHEM, 015,001,BIO/ANALYTICAL CHEM,"MAJDA, M M        ",0,7,0,0,8,0,0,4,0,0,0,0,0
CHEM, 100,001,COMMUNICATING CHEM ,"STACY, A M        ",1,24,4,1,0,1,0,0,0,0,0,0,0
CHEM, 104B,001,ADV INORGANIC CHEM ,"ANDERSEN, R A     ",3,4,7,7,8,5,4,7,0,0,5,0,3
CHEM, 105,001,INSTRUMEN ANALYSIS ,"WILLIAMS, E       ",3,7,4,5,4,2,3,4,0,0,1,0,1
CHEM, 112B,001,ORGANIC CHEMISTRY  ,"SARPONG, R        ",5,11,25,30,18,16,8,2,1,0,0,0,0
CHEM, 114,001,ADV SYN ORGAN CHEM ,"ELLMAN, J A       ",4,7,2,1,8,2,1,6,2,0,3,0,0
CHEM, 115,001,ORGANIC CHEMISTRY  ,"VIERNES, N L      ",1,3,3,6,1,1,0,0,0,0,1,0,0
CHEM, 120A,001,PHYSICAL CHEMISTRY ,"MILLER, W H       ",2,5,5,12,18,0,12,14,6,0,1,0,1
CHEM, 120B,001,PHYSICAL CHEMISTRY ,"GEISSLER, P L     ",3,38,6,19,20,0,15,24,0,0,0,0,2
CHEM, 125,001,PHYS CHEM LAB      ,"YANG, H           ",8,8,6,5,3,1,1,4,0,0,0,0,1
CHEM, 135,001,CHEMICAL BIOLOGY   ,"DOUDNA CATE, J H  ",1,6,3,3,4,2,0,5,0,0,0,0,1
CHEM,C130,001,BIOPHYSICAL CHEM   ,"WEMMER, D E       ",0,8,1,2,9,2,2,4,0,0,0,0,1
CHEM,C150,001,INTR MATERIALS CHEM,"LONG, J R         ",1,4,3,1,2,2,0,0,0,0,0,0,0
CHEM,C182,001,ATMOS CHEM PHYS LAB,"BOERING, K A      ",0,7,5,0,3,0,0,0,0,0,0,0,0
CHICANO, 020,001,INTRO CHICANO CULT ,"DAVILA-SANCHEZ, A ",0,4,12,4,2,0,0,0,0,0,0,0,0
CHICANO, 040,001,INTRO CHICANO LIT  ,"PEREZ, L E        ",0,1,3,2,15,5,1,2,0,0,1,0,2
CHICANO, 135,001,CHICANO/LATINO FILM,"TELLES, R         ",0,12,8,13,2,1,0,0,0,0,0,0,0
CHICANO, 150B,001,HIST OF SOUTHWEST  ,"MONTEJANO, D      ",3,6,7,9,9,2,0,2,0,0,0,0,0
CHICANO, 161,001,CENTRAL AMER PEOPLE,"LASKY, M P        ",0,1,2,1,10,1,0,1,0,0,0,0,0
CHICANO, 165,001,"CUBA, US, & CUBA AM","SARAGOZA, A M     ",0,5,16,6,9,2,3,1,1,0,0,0,1
CHICANO, 172,001,CHICANO & EDUC SYST,"CHAVEZ, L F       ",0,14,2,6,7,0,0,0,0,0,0,0,0
CHICANO, 179,001,CHICANA/O FAMILIES ,"PESQUERA, B M     ",0,5,4,2,0,1,0,1,0,0,0,0,2
CHICANO, 180,001,TOPICS IN CHIC STUD,"GROSFOGUEL, R     ",2,8,4,4,0,0,0,0,0,0,0,0,0
CHICANO, 180,002,TOPICS IN CHIC STUD,"RODRIGUEZ, C H    ",0,1,2,8,1,0,0,0,0,0,0,0,0
CHICANO, 180,003,TOPICS IN CHIC STUD,"TELLES, R         ",0,4,19,1,2,0,0,0,0,0,0,0,0
CHINESE, 001B,002,ELEMENTARY CHINESE ,"HSU, H            ",0,5,6,1,1,1,0,0,0,0,0,0,0
CHINESE, 001B,003,ELEMENTARY CHINESE ,"YANG, Y           ",0,5,6,2,2,0,0,0,0,0,0,0,0
CHINESE, 001B,004,ELEMENTARY CHINESE ,"YANG, Y           ",0,6,3,4,2,0,0,0,0,0,0,0,1
CHINESE, 001B,005,ELEMENTARY CHINESE ,"YANG, Y           ",0,7,5,1,1,0,0,0,0,0,0,0,0
CHINESE, 001BX,001,ELEM CHINESE MANDAR,"LIU, L            ",0,4,5,2,1,3,0,0,0,0,0,0,0
CHINESE, 001BX,002,ELEM CHINESE MANDAR,"LIU, L            ",0,6,8,2,0,0,0,0,0,0,0,0,0
CHINESE, 001BX,003,ELEM CHINESE MANDAR,"LIU, L            ",0,3,7,1,1,0,0,1,1,0,0,0,0
CHINESE, 001BX,004,ELEM CHINESE MANDAR,"LIU, L            ",0,9,5,2,1,0,0,0,0,0,0,0,0
CHINESE, 001BY,001,ELEM CHINESE DIALEC,"HSU, H            ",0,6,2,2,3,0,0,0,0,0,0,0,0
CHINESE, 001BY,002,ELEM CHINESE DIALEC,"ZHANG, L          ",0,8,6,1,2,2,0,0,0,0,0,0,0
CHINESE, 001BY,003,ELEM CHINESE DIALEC,"ZHANG, L          ",0,8,2,5,3,1,0,0,0,0,0,0,0
CHINESE, 007B,001,MODERN CHINESE LIT ,"SCHAEFER, W       ",0,6,11,8,8,3,1,1,1,0,0,0,0
CHINESE, 010B,001,INTER CHINESE      ,"CHU, C P          ",0,7,8,0,2,0,0,1,0,0,0,0,1
CHINESE, 010B,002,INTER CHINESE      ,"CHU, C P          ",0,8,3,1,1,0,0,0,0,0,0,0,0
CHINESE, 010B,003,INTER CHINESE      ,"CHU, C P          ",0,5,7,1,0,0,0,0,0,0,0,0,1
CHINESE, 010BX,001,INTERMED CHINESE MA,"LI, R             ",0,9,4,5,1,0,0,0,0,0,0,0,0
CHINESE, 010BX,002,INTERMED CHINESE MA,"LI, X             ",0,6,4,2,1,2,0,0,1,0,0,0,1
CHINESE, 010BX,003,INTERMED CHINESE MA,"LIU, D            ",0,7,2,1,4,1,0,1,0,0,1,0,0
CHINESE, 010BX,004,INTERMED CHINESE MA,"LI, X             ",0,9,3,1,1,0,0,0,0,0,0,0,0
CHINESE, 010BX,005,INTERMED CHINESE MA,"LI, R             ",0,8,6,2,0,0,0,0,0,0,0,0,0
CHINESE, 010BX,006,INTERMED CHINESE MA,"ZHANG, L          ",0,10,2,2,1,1,0,0,0,0,0,0,0
CHINESE, 100B,001,ADVANCED CHINESE   ,"SHIAO, Y          ",0,2,8,1,0,0,1,0,0,0,0,0,0
