Grade Distribution for Spring 2012 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2012 Spring,Art Practice,ART,Art Practice,198,005,Directed Group Stdy,John Mcnamara,04558,,,,,,,,,,,,,,13,,1,,,14
2012 Spring,Astronomy,ASTRON,Astronomy,7B,001,Intro Astrophysics,Steven Stahler,05953,2,5,3,3,6,4,2,,2,,1,,,1,,,,,29
2012 Spring,Astronomy,ASTRON,Astronomy,10,001,General Astronomy,Leo Blitz,05962,3,11,9,6,7,3,4,1,,,1,,1,20,,5,,1,72
2012 Spring,Astronomy,ASTRON,Astronomy,C12,001,The Planets,Burkhard Militzer,05980,,8,13,4,12,8,3,,5,,,,,20,,6,,1,80
2012 Spring,Astronomy,ASTRON,Astronomy,121,001,Radio Astronomy Lab,Geoffrey Bower,06022,1,4,3,2,,,,,,,,,,1,,1,,,12
2012 Spring,Astronomy,ASTRON,Astronomy,C161,001,Rela Astro & Cosmo,Marc Davis,06025,5,9,,,1,2,,1,,,,,,1,,,,,19
2012 Spring,Astronomy,ASTRON,Astronomy,C162,001,Planetary Astrophys,Raymond Jeanloz,06034,3,2,,,,1,,2,,,,,2,1,,1,,,12
2012 Spring,Astronomy,ASTRON,Astronomy,198,001,Directed Group Stdy,Geoffrey Bower,06048,,,,,,,,,,,,,,10,,1,,,11
2012 Spring,Bioengineering,BIO ENG,Bioengineering,24,001,Aspects Of Bioeng,Terry Johnson,06453,,,,,,,,,,,,,,122,,4,,,126
2012 Spring,Bioengineering,BIO ENG,Bioengineering,25,001,Careers In Biotech,Dorian Liepmann,06456,,,,,,,,,,,,,,191,,5,,,196
2012 Spring,Bioengineering,BIO ENG,Bioengineering,100,001,Ethics In Sci & Eng,Teresa Head-Gordon,06609,,23,17,10,3,2,,,,,,,,24,,1,,,80
2012 Spring,Bioengineering,BIO ENG,Bioengineering,101,001,Instr Biology Med,Steven Conolly,06618,5,3,3,6,3,4,2,,1,,,,,1,,,,,28
2012 Spring,Bioengineering,BIO ENG,Bioengineering,104,001,Bio Trans Phen,Terry Johnson,06630,4,28,22,10,22,5,7,1,1,,,,,1,,,,1,102
2012 Spring,Bioengineering,BIO ENG,Bioengineering,110,001,Biomed Phys For Eng,Sanjay Kumar,06657,2,19,7,12,13,11,2,1,,,,,,1,,,,,68
2012 Spring,Bioengineering,BIO ENG,Bioengineering,115,001,Cell Bio For Eng,Hayley Lam,06672,3,11,3,10,4,1,,,,,,,,,,,,,32
2012 Spring,Bioengineering,BIO ENG,Bioengineering,116,001,Cell And Tissue Eng,Song Li,06681,9,41,16,16,11,,,,1,,,,,1,,,,,95
2012 Spring,Bioengineering,BIO ENG,Bioengineering,C117,001,Struct Asp Biomater,Lisa Pruitt,06690,,19,1,,,,,,,,,,,,,,,,20
2012 Spring,Bioengineering,BIO ENG,Bioengineering,121L,001,Biomems Bionano Lab,Dorian Liepmann,06696,5,9,,,,,,,,,,,,,,,,,14
2012 Spring,Bioengineering,BIO ENG,Bioengineering,140L,001,Synth Bio Lab,John Anderson,06711,2,5,3,1,1,2,1,1,,,,,,,1,,,,17
2012 Spring,Bioengineering,BIO ENG,Bioengineering,C144,001,Intro To Pro Infor,Kimmen Sjolander,06717,1,1,4,4,5,1,1,,,,1,,,,1,1,,,20
2012 Spring,Bioengineering,BIO ENG,Bioengineering,150,001,Intro To Bio & Bion,Seung-Wuk Lee,06737,,24,23,17,7,3,,,,,,,,1,,,,,75
2012 Spring,Bioengineering,BIO ENG,Bioengineering,151,001,Micro/Nano Bioe,Amy Herr,06738,2,3,,3,2,,,,,,,,1,,,,,,11
2012 Spring,Bioengineering,BIO ENG,Bioengineering,163,001,Prin Of Molec & Cel,Gerard Marriott,06744,1,3,4,1,,,,,,1,,,,,,,,,10
2012 Spring,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C114,001,Tibetan Buddhism,Jann Ronis,07909,,,7,,1,,1,,,,,,,3,,1,,,13
2012 Spring,Business,UGBA,Business Admin-Undergrad,10,001,Principles Of Bus,Cristina Banks; David Robinson; David Vogel,08053,25,41,63,96,78,43,49,5,13,,2,,8,47,,15,,,485
2012 Spring,Business,UGBA,Business Admin-Undergrad,96,001,Ld Spec Top Bus Adm,Jennifer Walske,08104,1,10,17,21,7,4,3,,,,,,1,31,,3,,1,99
2012 Spring,Business,UGBA,Business Admin-Undergrad,100,001,Business Comm,Arturo Perez-Reyes,08142,,,1,8,14,3,,,,,,,,,,,,,26
2012 Spring,Business,UGBA,Business Admin-Undergrad,100,002,Business Comm,Arturo Perez-Reyes,08143,,,3,16,10,1,,,,,,,,,,,,,30
2012 Spring,Business,UGBA,Business Admin-Undergrad,100,003,Business Comm,Ryan Sloan,08146,,,7,18,3,,,,,,,,,,,,,,28
2012 Spring,Business,UGBA,Business Admin-Undergrad,100,004,Business Comm,Ryan Sloan,08149,,,4,21,3,,,,,,,,,,,,,,28
2012 Spring,Business,UGBA,Business Admin-Undergrad,100,006,Business Comm,Krystal Thomas,08155,,4,5,10,2,2,,,1,,,,,,,,,,24
2012 Spring,Business,UGBA,Business Admin-Undergrad,100,007,Business Comm,Ericka Lutz,08157,,2,4,9,4,1,,,,1,,,,,,,,,21
2012 Spring,Business,UGBA,Business Admin-Undergrad,101A,001,Microeconomic Analy,Santiago Oliveros,08158,,2,5,2,4,4,,,,,1,,,1,,,,,19
2012 Spring,Business,UGBA,Business Admin-Undergrad,101B,001,Macroeconomics,Todd Fitch,08164,2,14,8,8,19,10,2,3,1,3,,,3,10,,4,,,87
