Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 4/14/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course,,,,,,,,
2015 Fall,IAS Teaching Program,GPP,Global Poverty & Practice,196,002,Global Capstone,Cecilia Lucas,38363,,6,3,3,3,1,,,,,,,,1,17,,,,,,,,
2015 Fall,IAS Teaching Program,GPP,Global Poverty & Practice,196,003,Global Capstone,Khalid Kadir,38366,1,4,8,2,1,1,,,,,,,,,17,,,,,,,,
2015 Fall,IAS Teaching Program,GPP,Global Poverty & Practice,196,004,Global Capstone,Khalid Kadir,38369,2,4,6,3,,1,,,,,,,,1,17,,,,,,,,
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,45,001,Survy World History,David Beecher,46403,,5,14,15,53,26,8,12,5,,1,1,3,2,152,,,,,,,,
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,102,001,Scope And Methods,Clare Talwalker,46430,,3,6,5,2,1,1,1,,,,,,,20,,,,,,,,
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,102,002,Scope And Methods,Bruce Newsome,46433,,,1,7,5,2,4,1,,,,,,1,21,,,,,,,,
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,H102,001,Scope And Methods,Stephanie Ballenger,46436,,5,7,1,2,,,,,,,,,,15,,,,,,,,
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,107,001,Inter Macro Theory,Mario Muzzi,46442,1,10,15,12,23,6,17,8,2,1,2,3,3,,104,,,,,,,,
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,C118,001,Intro Econometrics,Elisabeth Sadoulet,46463,1,1,1,2,2,5,2,2,1,,,,,,20,,,,,,,,
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,C148,001,Educ And Intl Dev,Erin Murphy-Graham,46472,,3,8,5,1,,1,,,,,,,,21,,,,,,,,
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,150,005,Adv Std In Ias,Stephanie Ballenger,46487,,4,4,4,4,2,,1,,,,,2,,26,,,,,,,,
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,150,006,Adv Std In Ias,Bruce Newsome,46490,,1,2,6,3,3,,,,,,,,,18,,,,,,,,
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,150,008,Adv Std In Ias,Clare Talwalker,46496,,10,4,4,1,,,,,,,,,2,26,,,,,,,,
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,150,009,Adv Std In Ias,Sarah Reynolds,46499,1,9,5,2,1,5,1,1,,,,,1,1,28,,,,,,,,
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,150,010,Adv Std In Ias,Syed Imran Ali,46501,2,3,6,3,2,1,,1,,,,,,,20,,,,,,,,
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,194,003,Senior Sem In Ias,Stephanie Ballenger,46529,,2,4,3,2,,,,1,,,,1,,13,,,,,,,,
2015 Fall,IAS Teaching Program,LATAMST,Latin American Studies,10,001,Intro Latin Am Stud,Tiffany Page,49103,,2,8,9,11,6,3,,1,,1,,,1,53,,,,,,,,
2015 Fall,IAS Teaching Program,LATAMST,Latin American Studies,150,001,Advanced Studies,Clara Nicholls,49115,,21,9,2,,,,,,,,,,,33,,,,,,,,
2015 Fall,IAS Teaching Program,M E STU,Middle Eastern Studies,150,001,Adv Std Middle East,Daniel Zoughbie,57012,1,6,9,4,,,,,,,,,,,21,,,,,,,,
2015 Fall,IAS Teaching Program,M E STU,Middle Eastern Studies,150,002,Adv Std Middle East,Peter Bartu,57015,,11,11,,,,,,,,,,,,26,,,,,,,,
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,10,001,Introd To Pacs,Karenjot Bhangoo Randhawa,66703,2,31,44,22,22,12,4,3,3,1,4,,1,1,168,,,,,,,,
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,94,001,Meditation,Americ Azevedo,66724,,,,,,,,,,,,,,,385,,,,,,,,
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,100,001,Peace Theories,Darren Zook,66727,,26,9,5,4,1,3,3,,,,,2,,56,,,,,,,,
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,119,002,Special Topics,Manuela Travaglianti,66733,1,6,3,4,1,2,,,,,,,,,19,,,,,,,,
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,119,003,Special Topics,Tetsushi Ogata,66736,2,12,7,1,2,2,,1,1,,,,2,,32,,,,,,,,
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,119,004,Special Topics,Hans Giesecke,66739,,3,10,,3,1,1,1,,,,,,,21,,,,,,,,
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,126,001,Interl Human Rights,Darren Zook,66742,,32,21,28,15,6,1,,1,1,,,1,,142,,,,,,,,
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,150,001,Conflict Resolution,Karenjot Bhangoo Randhawa,66748,,13,12,9,5,,,,,,,,,1,44,,,,,,,,
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,164A,001,Nonviolence,Americ Azevedo,66751,4,24,5,7,1,,1,1,,,,,,,48,,,,,,,,
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,170,001,"Conflct Res,Soc Chg",Tetsushi Ogata,66754,,6,9,1,2,4,,1,,,,2,,1,32,,,,,,,,
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,190,001,Senior Seminar,Manuela Travaglianti,66757,,2,6,3,3,2,,,,,,,,3,19,,,,,,,,
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,190,002,Senior Seminar,Manuela Travaglianti,66760,,2,4,3,3,,,,,,,,,1,13,,,,,,,,
2015 Fall,IAS Teaching Program,POLECON,Political Economy,100,001,Theory Of Pol Econ,Alan Karras,71206,,8,21,21,34,17,9,10,8,1,1,,5,,144,,,,,,,,
2015 Fall,IAS Teaching Program,POLECON,Political Economy,101,001,Contemp Theo Pol Ec,Khalid Kadir,71227,4,18,19,28,30,18,11,5,2,2,,,3,3,152,,,,,,,,
2015 Fall,IAS Teaching Program,POLECON,Political Economy,160,001,Pe His Context,David Beecher,71251,,1,4,11,17,1,2,5,,,,,,,42,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,24,001,Freshman Seminars,Kenneth Goldberg,41003,,,,,,,,,,,,,,,18,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,115,001,Ind & Comm Data Sys,Kenneth Goldberg,41015,7,12,14,11,7,3,,,1,,1,,,,59,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,130,001,Method Manuf Improv,Robert Leachman,41024,1,4,2,3,7,7,,,,,,,,,26,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,150,001,Prod Systs Analys,Robert Leachman,41027,1,3,3,3,4,2,3,,,,,,,,21,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,151,001,Serv Oper Desg Anal,Anil Aswani,41030,4,12,14,4,4,,,,,,,,,,38,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,160,001,Nonlin & Dis Optimz,Javad Lavaeiyanesi,41033,9,8,14,18,19,,3,3,,3,,1,1,,86,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,162,001,Linp & Netwrk Flows,Dorit Hochbaum,41042,3,26,21,10,1,3,5,,2,,,,,,75,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,171,001,Tech Firm Leadrship,Ronald Lesniak,41051,43,31,9,1,,,,1,,,,,,,85,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,172,001,Probability Eng,Rhonda Righter,41054,2,34,4,1,32,,2,2,1,,,,,2,81,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,180,001,Senior Project,Philip Kaminsky,41063,5,8,2,,,,,,,,,,,,15,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,185,001,Challenge Lab,Kenneth Singer,41069,2,13,2,2,,,,,,,,,,,21,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,186,001,Product Management,Kenneth Sandy,41081,6,11,8,7,3,1,1,1,1,,,,,,54,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,186,002,Product Management,Kenneth Sandy,41082,5,13,8,5,2,2,,,1,,,,,,43,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,190A,001,Advance Topics Ieor,Kenneth Singer,41083,,30,,,,,,,,,,,,8,49,,,,,,,,
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,191,001,Entrepreneurship,Naeem Zafar,41090,4,12,8,14,1,1,,,,,,,,,45,,,,,,,,
2015 Fall,Information,INFO,Info Mgmt & Systems,C167,001,Virtul Comm/Soc Med,Edwin Lin,41506,3,27,3,1,1,,,,,,,,,,36,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,24,008,Freshman Seminars,Han Lim,42124,2,6,2,1,2,,,,,,,,,,15,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,24,009,Freshman Seminars,Kevin Padian,42127,,4,1,,3,4,,,,,,,,,12,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,35AC,001,Hum Bio Variation,Leslea Hlusko,42130,15,101,34,21,15,3,2,4,,,2,,3,,294,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,C82,001,Oceans,Ivo Duijnstee; James Bishop,42178,4,7,,4,2,1,2,1,1,,,,,,32,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,C107L,001,Plant Morphol W Lab,Chelsea Specht,42280,2,5,,1,1,,,1,,,,,,1,11,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,117,001,Medical Ethnobotany,Thomas Carlson,42304,11,51,25,30,36,17,6,13,7,,,,1,2,234,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,117LF,001,Med Ethnobotany Lab,Arielle Halpern; Thomas Carlson,42307,3,8,1,1,3,,,4,,,,,,,23,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,117LF,002,Med Ethnobotany Lab,Charlotte Jennings; Thomas Carlson,42310,,3,3,3,4,2,,2,,,,,,,18,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,118,001,Host-Path Interact,Michael Shapira,42313,,5,5,9,5,,3,1,,,1,,1,,34,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,123AL,001,Exercise Physio Lab,George Brooks,42322,,3,14,15,11,10,1,1,,,,,,,56,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,C125L,001,Intro Biomech Anal,M. Scott,42337,,4,3,2,2,,1,,,,,,,,12,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131,001,Human Anatomy,Thomas Carlson,42343,12,90,61,68,66,39,31,24,9,3,3,1,4,2,460,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,001,Human Anatomy Lab,Erik Sathe; Thomas Carlson,42346,2,4,5,4,4,2,1,1,,,,1,,,27,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,002,Human Anatomy Lab,Shawn Shirazi; Thomas Carlson,42349,1,5,7,4,3,1,1,1,,,,,,,25,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,003,Human Anatomy Lab,Sofia Chang; Thomas Carlson,42352,,2,2,8,2,1,1,1,,,,,,,19,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,004,Human Anatomy Lab,Sunhee Kim; Thomas Carlson,42355,3,4,8,7,3,,,1,,,,1,,,29,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,005,Human Anatomy Lab,Diana Chen; Thomas Carlson,42358,1,3,1,6,3,1,1,2,1,,1,,,,22,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,006,Human Anatomy Lab,Tesla Monson; Thomas Carlson,42361,,6,1,5,5,1,,2,1,,1,,,,26,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,007,Human Anatomy Lab,Luke Bloch; Thomas Carlson,42364,2,4,6,2,8,1,2,,,,1,,,,26,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,008,Human Anatomy Lab,Thomas Carlson; Zixiang Zhang,42367,,1,4,5,6,2,,1,,,,,,,22,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,009,Human Anatomy Lab,Crystal Wang; Thomas Carlson,42370,,4,3,4,5,,1,1,,,,,,,20,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,010,Human Anatomy Lab,Sarah Hykin; Thomas Carlson,42373,1,3,2,6,5,,,,,,,1,,,23,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,011,Human Anatomy Lab,Sarah Whiteside; Thomas Carlson,42376,,2,4,1,2,2,1,,1,,1,,,,14,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,012,Human Anatomy Lab,Benjamin Muddiman; Thomas Carlson,42379,,4,3,1,2,,1,1,1,,,,1,,16,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,013,Human Anatomy Lab,Sara Elshafie; Thomas Carlson,42382,1,1,4,4,1,3,,2,,,,,2,,20,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,137,001,Human Endo,Tyrone Hayes,42409,2,14,1,,10,3,2,9,,2,3,,2,,62,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,139,001,Neuro Bio Of Stress,Daniela Kaufer,42430,2,17,11,10,6,2,1,,,,,,,,55,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,C144,001,Animal Behavior,Alan Krakauer; Eileen Lacey; George Bentley,42442,1,9,16,25,32,14,9,4,2,1,1,,,,117,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,153,001,Ecol,Wayne Sousa,42481,2,14,6,4,8,5,4,11,4,,,,,,60,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,154,001,Plant Ecology,David Ackerly,42493,,13,7,8,11,5,3,3,1,,,,,,55,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,154L,001,Plant Ecology Lab,David Ackerly; Dori Contreras; Prahlada Papper,42502,2,8,3,,,,,,,,,,,,13,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,C156,001,Prin Conserv Biol,Steven Beissinger,42505,1,5,4,5,6,2,,,,,,,,1,24,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,157LF,001,Ecosystems Of Calif,Paul Fine,42520,1,14,6,1,,,,,,,,,,,22,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,159,001,The Living Planet,Cynthia Looy; Ivo Duijnstee,42529,4,1,4,2,6,2,5,,1,,1,,1,,30,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,160,001,Evolution,Chelsea Specht; Kevin Padian,42538,15,18,9,14,11,6,7,2,5,1,2,,3,3,98,,,,,,,,
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,164,001,Human Gene & Ge,Doris Bachtrog; Rasmus Nielsen,42577,1,8,6,3,11,6,2,9,,,2,,,,51,,,,,,,,
2015 Fall,Italian Studies,ITALIAN,Italian Studies,1,003,Elementary Italian,Giuliana Perco; Matthew Mason,46909,,2,5,4,1,,1,,,,,,,,16,,,,,,,,
2015 Fall,Italian Studies,ITALIAN,Italian Studies,1,005,Elementary Italian,Elisa Russian; Giuliana Perco,46915,,3,6,4,,1,,,,,,,,,19,,,,,,,,
2015 Fall,Italian Studies,ITALIAN,Italian Studies,1,006,Elementary Italian,Giuliana Perco; Michael Hannaman,46918,1,,3,2,2,1,,1,,,,,,,10,,,,,,,,
2015 Fall,Italian Studies,ITALIAN,Italian Studies,2,003,Elementary Italian,Giuliana Perco; Scott Bishop,46930,,3,3,1,2,,,,,,,,,,11,,,,,,,,
2015 Fall,Italian Studies,ITALIAN,Italian Studies,R5A,001,Reading & Comp,Albert Ascoli; Jennifer Mackenzie,46948,4,1,5,3,1,2,,,,,,,,,16,,,,,,,,
2015 Fall,Italian Studies,ITALIAN,Italian Studies,R5B,001,Reading & Comp,Katherine Noson,46954,2,5,1,3,3,1,,1,,,,,,,16,,,,,,,,
2015 Fall,Italian Studies,ITALIAN,Italian Studies,R5B,002,Reading & Comp,Luis Valladares,46957,1,5,5,1,1,,,1,,,,,,,14,,,,,,,,
2015 Fall,Italian Studies,ITALIAN,Italian Studies,30,001,Dante (English),Stanley Levers,46960,,30,2,2,2,,,,1,,,,1,,42,,,,,,,,
2015 Fall,Italian Studies,ITALIAN,Italian Studies,40,001,Italian Culture,Maria Fuller,46972,5,48,20,6,6,3,,3,,,,,,,111,,,,,,,,
2015 Fall,Italian Studies,ITALIAN,Italian Studies,170,001,Ital Cinema His Gen,Soledad Anatrone,47032,1,5,5,1,2,1,,,,,,,,,15,,,,,,,,
2015 Fall,Jewish Studies Program,JEWISH,Jewish Studies,120,002,Special Topics,Ori Aronson,47814,,2,3,5,1,,,,,,,,,,11,,,,,,,,
2015 Fall,Journalism,JOURN,Journalism,24,001,Freshman Seminars,Thomas Leonard,48002,,9,,,,,,,,,,,,,11,,,,,,,,
2015 Fall,Journalism,JOURN,Journalism,39L,001,Fresh/Soph Seminar,William Drummond,48003,,7,3,,,,,,,,,,,,17,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,1,001,Liberal Arts,Alix Schwartz,51903,,,,,,,,,,,,,,,92,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,C5,001,Entrepreneurship,Ajay Bam,51924,1,6,14,17,9,4,,,,,,,1,,72,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,10,001,On The Same Page,Alix Schwartz,51927,,,,,,,,,,,,,,,39,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,23,001,The Humanities,Daniel Boyarin; Michael Nylan,51944,4,16,11,6,2,2,1,1,1,,,,2,2,58,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,C30T,001,Drugs And The Brain,David Presti,51945,2,22,10,11,10,7,,1,,,,,2,,119,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,39E,001,Fresh/Soph Seminar,Anindita Adhikari,52245,6,7,6,2,,,,,,,,,,,23,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,39F,001,Fresh/Soph Seminar,Yang Xu,52248,5,4,1,,,,,,,,,,,,13,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,39I,001,Fresh/Soph Seminar,Michael Nylan,52257,1,6,2,1,1,,,,,,,,,1,14,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,40C,001,Historical Studies,Kathleen Moran,52020,,22,19,4,9,4,2,2,1,1,,,1,2,97,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,C60U,001,Marxnietzschefreud,Karen Feldman,52035,,6,4,2,1,1,,,1,,,,,,28,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,C70U,001,General Astronomy,Alexei Filippenko,52038,6,15,14,9,15,9,1,4,1,,,1,,1,168,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,C70V,001,Descriptive Intro,Yury Kolomensky,52119,6,27,16,9,7,4,6,5,2,,1,,3,,118,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,C70Y,001,Earthquakes,Horst Rademacher,52158,6,7,9,7,12,2,10,2,,,,,,,91,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,120C,001,Arts & Literature,Ronald Hendel,52161,,16,11,1,2,,,2,,,,,2,,47,,,,,,,,
2015 Fall,L&S Deans Office,L & S,Letters & Science,C140V,001,Human Rights,Lynsay Skiba,52176,,13,21,4,1,2,1,,,,,,1,,55,,,,,,,,
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,12,001,Env Sci Sustainable,George Kondolf,48503,,17,23,21,9,8,2,2,1,,,,,,94,,,,,,,,
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,101,001,Design Fundamentals,Jennifer Brooks,48518,,1,3,9,4,2,,,,,,,,1,20,,,,,,,,
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,103,001,Energy Fantasy Form,Charles Sullivan,48524,7,,1,1,1,,,,,,,,,,10,,,,,,,,
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,110,001,Ecological Analysis,Iryna Dronova,48530,4,24,18,9,21,4,3,2,,,,,,1,87,,,,,,,,
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,110L,002,Ecol Analysis Lab,Iryna Dronova,48536,2,21,1,,,,,,,,,,,,24,,,,,,,,
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,111,001,Plants In Design,Richard Hindle,48539,2,29,6,2,2,,3,1,1,,,,,2,49,,,,,,,,
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,120,001,Topo Form & Design,Kelley Lemon; Michael Lamb,48542,6,10,4,3,,1,1,,,,,,,,25,,,,,,,,
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,134B,001,Drawing Workshop Ii,Carl Kullmann,48554,4,17,10,2,,,,,,,,,1,,34,,,,,,,,
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,135,001,Art Land Drawing,Charles Sullivan,48560,7,10,2,4,,,,,,,,,,,23,,,,,,,,
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,C171,001,Amer Dsgn Land 1850,Louise Mozingo,48566,1,1,2,7,,2,3,3,1,,,,,,24,,,,,,,,
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,C188,001,Geog Info System,John Radke,48569,6,19,12,12,14,10,,2,,,,,1,,88,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,R1B,001,Reading & Comp,Jonathan Marshall; Kathryn Heard,51503,,4,5,5,2,2,,2,,,,,,,20,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,39D,001,Fresh/Soph Seminar,Alan Pomerantz,51506,5,5,1,3,,,,,,,,,,,19,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,39G,001,Fresh/Soph Seminar,Jonathan Marshall,51505,1,,3,2,,,,1,,,,,,,10,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,100,001,Foundations Legalst,Richard Perry,51521,,26,36,42,13,7,2,5,1,,,,,,136,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,103,001,Theor Of Law & Soc,David Lieberman,51536,,7,9,15,4,8,6,1,3,,,,2,,56,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,109,001,Aim/Limit Crim Law,Richard Perry,51545,,17,19,11,6,2,1,1,,,,,,,58,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,140,001,Property & Liberty,Robert Brown,51554,2,8,9,7,7,7,4,1,2,,,,,1,50,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,145,001,Law & Economics I,Robert Cooter,51563,2,7,4,6,16,10,8,6,3,1,,,2,,74,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,158,001,Law & Development,James O'Connell,51587,,17,4,6,12,8,9,12,5,,,1,,,78,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,163,001,Juvenile Justice,Franklin Zimring,51602,,9,4,10,18,9,4,4,,,,,,,60,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,171,001,Euro Legal History,Charles Mcclain,51611,1,5,3,6,6,1,3,2,1,,,,1,,32,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,182,001,"Law, Politics & Soc",Malcolm Feeley,51620,,10,10,6,16,7,3,6,4,,4,,2,,69,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,184,001,Sociology Of Law,Catherine Albiston,51635,,27,5,6,39,3,3,2,,,,,1,,87,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,190,001,Topics In Law/Soc,James Rule,51650,,4,2,2,1,1,,,,,,,,2,12,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,190,002,Topics In Law/Soc,Christopher Tomlins,51653,1,1,4,2,1,,,,,,,,2,,11,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,H195A,001,Honors Seminar,Lauren Edelman,51659,5,9,2,1,1,,,,,,,,,,18,,,,,,,,
2015 Fall,Law,LEGALST,Legal Studies,198,003,Directed Group Stdy,Robert Berring,51680,,,,,,,,,,,,,,,13,,,,,,,,
2015 Fall,Linguistics,LINGUIS,Linguistics,1A,001,American Sign Lang,Sherry Hicks,52403,1,2,1,2,2,1,,5,2,1,1,,,,20,,,,,,,,
2015 Fall,Linguistics,LINGUIS,Linguistics,1A,002,American Sign Lang,Sherry Hicks,52409,4,2,2,3,1,,1,,,,1,1,,,16,,,,,,,,
2015 Fall,Linguistics,LINGUIS,Linguistics,R1B,001,Endangered Language,Andrew Garrett; Clare Sandy,52415,1,8,3,2,5,,,,,,,,1,,20,,,,,,,,
2015 Fall,Linguistics,LINGUIS,Linguistics,R1B,002,Endangered Language,Andrew Garrett; Ruth Rouvier,52418,4,8,6,1,,1,,,,,,,,,20,,,,,,,,
2015 Fall,Linguistics,LINGUIS,Linguistics,5,001,Lang & Linguistics,Larry Hyman,52427,6,13,10,10,20,4,3,4,4,,2,,1,,89,,,,,,,,
2015 Fall,Linguistics,LINGUIS,Linguistics,100,001,Intro Ling Sci,Andrew Garrett,52469,2,22,26,25,41,18,9,5,4,3,2,,3,3,185,,,,,,,,
