Grade Distribution for Spring 2013 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments
2013 Spring,Business,UGBA,Business Admin-Undergrad,106,001,Marketing,Ming Hsu,08314,12,46,56,40,38,5,3,4,1,,,,,15,,,,1,221
2013 Spring,Business,UGBA,Business Admin-Undergrad,107,001,Soc & Pol Eth Env,Alan Ross,08335,2,18,47,57,31,4,,2,2,,,,,36,,1,,,200
2013 Spring,Business,UGBA,Business Admin-Undergrad,115,001,Competitivestrategy,Frank Schultz,08356,,6,14,6,,,2,,,,,,,3,,,,,31
2013 Spring,Business,UGBA,Business Admin-Undergrad,119,001,Leading Strat Imple,Frank Schultz,08362,,6,11,9,2,,,,,,,,,4,,,,,32
2013 Spring,Business,UGBA,Business Admin-Undergrad,120A,002,Int Financial Acct,Francis Stanton,08365,7,13,17,,6,3,,,,,,,,6,,,,,52
2013 Spring,Business,UGBA,Business Admin-Undergrad,120A,003,Int Financial Acct,Maria Nondorf,08374,2,24,5,5,12,2,,3,,,1,1,,3,,4,,,62
2013 Spring,Business,UGBA,Business Admin-Undergrad,120B,001,Adv Fin Accounting,Francis Stanton,08383,7,14,4,,4,1,,,,,,,,6,,,,1,37
2013 Spring,Business,UGBA,Business Admin-Undergrad,121,001,Fed Inc Tax Acctg,Alan Cerf,08389,1,22,8,8,8,,,,1,,,,1,9,,,,,58
2013 Spring,Business,UGBA,Business Admin-Undergrad,122,001,Fin Info Analysis,Francis Stanton,08395,8,21,,,13,3,,,,,,,1,2,,,,,48
2013 Spring,Business,UGBA,Business Admin-Undergrad,126,001,Auditing,Satyaraj Berde,08401,2,8,4,3,8,1,,,,,,,,11,,2,,,39
2013 Spring,Business,UGBA,Business Admin-Undergrad,127,001,Spec Topics In Acct,Maria Nondorf,08406,,24,5,2,1,,,,,,,,,17,,,,,49
2013 Spring,Business,UGBA,Business Admin-Undergrad,131,001,Corp Fin Analysis,Stephen Etter,08410,,22,12,,4,,,,,,,,,5,,,,,43
2013 Spring,Business,UGBA,Business Admin-Undergrad,132,001,Fin Instit & Mrkts,James Wilcox,08416,1,7,6,9,4,,2,,,,,,,5,,3,,,37
2013 Spring,Business,UGBA,Business Admin-Undergrad,133,001,Investments,Christine Parlour,08421,9,10,6,6,2,3,1,1,,,,,,4,,,,,42
2013 Spring,Business,UGBA,Business Admin-Undergrad,137,002,Spec Topics In Fin,Konstantin Magin,08425,,10,,,1,,,4,,,,,,7,,1,,,23
2013 Spring,Business,UGBA,Business Admin-Undergrad,137,003,Spec Topics In Fin,Sumon Mazumdar,08428,,3,8,4,3,,,,,,,,,,,,,,18
2013 Spring,Business,UGBA,Business Admin-Undergrad,141,001,Prod & Oper Mgmt,Jose Guajardo,08434,1,7,5,4,5,5,,,,,,,,,,,,,27
2013 Spring,Business,UGBA,Business Admin-Undergrad,152,001,Negotiation,Holly Schroth,08440,,10,6,11,2,1,2,,,,1,,,,,,,,33
2013 Spring,Business,UGBA,Business Admin-Undergrad,152,002,Negotiation,Holly Schroth,08443,1,11,8,6,1,2,,,,,,,,2,,,,,31
2013 Spring,Business,UGBA,Business Admin-Undergrad,155,001,Leadership,Brenda Fellows,08445,,,,2,8,3,,1,,,,,,3,,,,,17
2013 Spring,Business,UGBA,Business Admin-Undergrad,156AC,001,Diversity In Wkplce,Erika Walker,08632,,2,11,8,2,1,,,,,,,,1,,,,,25
2013 Spring,Business,UGBA,Business Admin-Undergrad,157,001,Spec Top Mors,Edward Kass,08446,1,14,6,7,,,,,,,,,,13,1,,,1,43
2013 Spring,Business,UGBA,Business Admin-Undergrad,157,002,Spec Top Mors,Daniel Mulhern,08448,,16,6,8,3,2,,,,,,,,4,,,,,39
2013 Spring,Business,UGBA,Business Admin-Undergrad,157,003,Spec Top Mors,Whitney Hischier,08638,,,22,6,3,,,,,,,,,2,,,,,33
2013 Spring,Business,UGBA,Business Admin-Undergrad,160,001,Consumer Behavior,William Fanning,08449,,8,10,7,7,3,1,2,,,,,,1,,,,,39
2013 Spring,Business,UGBA,Business Admin-Undergrad,165,001,Advertise Strategy,Clayton Critcher,08455,11,11,17,9,8,2,,,,,,,,9,,,,,67
2013 Spring,Business,UGBA,Business Admin-Undergrad,167,001,Spec Topics In Mkt,David Robinson,08458,,3,9,1,1,,,,,,,,,9,,,,,23
2013 Spring,Business,UGBA,Business Admin-Undergrad,167,002,Spec Topics In Mkt,Wasim Azhar,08461,1,13,15,15,1,,,,,,,,,6,,,,,51
2013 Spring,Business,UGBA,Business Admin-Undergrad,167,003,Spec Topics In Mkt,Christopher Giles; Michael Rielly,08463,,5,5,6,6,1,,,,,,,,9,,,,,32
2013 Spring,Business,UGBA,Business Admin-Undergrad,170,001,Ethical Leadership,John Phillips,08464,,4,3,5,2,1,,,,,,,,5,,,,,20
2013 Spring,Business,UGBA,Business Admin-Undergrad,170,002,Ethical Leadership,John Phillips,08467,,13,21,7,2,3,1,,,,,,,4,,,,,51
2013 Spring,Business,UGBA,Business Admin-Undergrad,C172,001,Bus Historical Env,Christine Rosen,08470,1,7,9,10,4,6,5,2,2,1,,2,2,5,,,,,56
2013 Spring,Business,UGBA,Business Admin-Undergrad,177,001,Spec Top/Bus Pub Po,Alan Ross,08473,1,38,10,15,11,5,2,,,,,,,24,,,,1,107
2013 Spring,Business,UGBA,Business Admin-Undergrad,178,001,Intro Internatl Bus,Daniel Himelstein,08476,1,9,29,18,6,1,,,,,,,1,5,,,,,70
2013 Spring,Business,UGBA,Business Admin-Undergrad,183,001,Intro Real Est Fin,Arden Hall,08485,4,6,6,4,2,1,,,,,,,,8,,,,,31
2013 Spring,Business,UGBA,Business Admin-Undergrad,190T,001,Topics Innov/Design,Reza Moazzami,08490,,4,7,2,3,,,,,,,,,4,,2,,1,23
2013 Spring,Business,UGBA,Business Admin-Undergrad,192A,001,Lead Np And Soc Ent,Benjamin Mangan,08491,,3,5,6,2,1,,,,,,,,3,,1,,,21
2013 Spring,Business,UGBA,Business Admin-Undergrad,192N,001,Topics In Nonprofit,Colin Lacon; Kimberly Wright-Violich,08494,,1,7,7,,,,,,,,,,2,,,,,17
2013 Spring,Business,UGBA,Business Admin-Undergrad,192T,001,Topics In Csr,Omar Romero-Hernandez,08497,,4,4,2,,1,,,,,,,,6,,,,,17
2013 Spring,Business,UGBA,Business Admin-Undergrad,195A,001,Entrepreneurship,Kurt Beyer,08503,2,9,10,13,9,5,,,,,,,,9,,,,,57
2013 Spring,Business,UGBA,Business Admin-Undergrad,195S,001,Eship & Global Pov,John Danner,08506,1,7,8,7,2,,,,,,,,,7,,,,,32
2013 Spring,Business,UGBA,Business Admin-Undergrad,196,001,Spec Topics Bus Adm,Fred Selinger,08509,1,35,51,28,20,6,5,1,2,,,,1,145,,,,,295
2013 Spring,Business,UGBA,Business Admin-Undergrad,196,002,Spec Topics Bus Adm,Fred Selinger,08512,1,31,28,20,28,12,2,1,3,,,,3,138,,1,,,268
2013 Spring,Business,UGBA,Business Admin-Undergrad,196,003,Spec Topics Bus Adm,Daniel Himelstein,08515,,1,17,5,2,,,,,,,,,,,,,,25
2013 Spring,Business,UGBA,Business Admin-Undergrad,196,004,Spec Topics Bus Adm,Cort Worthington,08518,,14,4,10,,,,,,,,,,4,,,,,32
2013 Spring,Business,UGBA,Business Admin-Undergrad,196,005,Spec Topics Bus Adm,Cort Worthington,08527,1,8,4,4,5,,,,,,,,,4,,,,,26
2013 Spring,Business,UGBA,Business Admin-Undergrad,196,007,Spec Topics Bus Adm,Paul Gertler,08536,,4,3,2,2,,,1,,,,,,4,,1,,,17
2013 Spring,Business,UGBA,Business Admin-Undergrad,196,010,Spec Topics Bus Adm,Szonja Ivester,08644,,9,4,2,,,,,,,,,1,,,,,,16
