Grade Distribution for Spring 2014 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Sereeta Alexander) 3/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2014 Spring,Architecture,ARCH,Architecture,102B,001,Capstone Project,Jill Stoner; Margaret Ikeda,03699,1,9,2,4,1,,1,,,,,,,,,,,,18
2014 Spring,Architecture,ARCH,Architecture,111,001,Housing: Internat,Nezar Alsayyad; Shraddha Navalli; Sophie Gonick,03702,1,6,4,3,1,1,,,,,,,,1,,1,,,18
2014 Spring,Architecture,ARCH,Architecture,140,001,Energy & Environ,Gail Brager; Stefano Schiavon,03717,2,18,29,20,32,23,15,6,2,1,1,,1,1,3,,,1,155
2014 Spring,Architecture,ARCH,Architecture,154,001,Des Comp Anal Struc,Kelly Wilson; R.Gary Black,03738,,2,4,1,,,,,,,,,,3,,,,,10
2014 Spring,Architecture,ARCH,Architecture,160,001,Intro Construction,Dana Buntrock,03741,5,33,15,10,26,11,12,8,2,,,,,3,,1,,2,128
2014 Spring,Architecture,ARCH,Architecture,170B,001,"Hist, Arch&Urbanism",Margaret Crawford,03768,,9,18,18,22,23,22,6,5,3,1,,1,3,,,,1,132
2014 Spring,Architecture,ARCH,Architecture,180AC,001,Prison,Victoria Robinson,03815,1,19,11,4,4,3,,2,2,,,,2,8,1,2,,,59
2014 Spring,Architecture,ENV DES,Environmental Design,1,001,People & Env Des,W Martin,28753,,19,14,18,10,1,,1,,,,,1,4,,,,,68
2014 Spring,Architecture,ENV DES,Environmental Design,R3B,001,R & C In Env Des,Renee Chow; Saima Akhtar,28768,,6,6,1,1,1,,,1,,,,,,,,,,16
2014 Spring,Architecture,ENV DES,Environmental Design,4A,001,Design And Activism,Laura Crescimano; Ronald Rael; Walter Hood,28770,,24,21,,,2,,,,,2,,1,1,,1,,,52
