Grade Distribution for Fall 2016 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 2/28/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2016 Fall,Architecture,ENVDES,Environmental Design,104,1,Design Frameworks,Emily Pilloton,35143,1,20,5,,4,,,,,,,,1,,,,,,31
2016 Fall,Architecture,VISSTD,Visual Studies,185X,1,Word And Image,Anthony Dubovsky,12362,2,10,2,,,,,,,,,,,,,,,,14
2016 Fall,Architecture,VISSTD,Visual Studies,186B,1,Photo Art Form,Jean Bourdier,12388,4,6,,1,1,,,,,,,,,,,,,,12
2016 Fall,Art Practice,ART,Art Practice,8,1,Intro Vis Thinking,John Mcnamara,13088,23,21,16,5,1,1,2,,,,,,,,,1,,,70
2016 Fall,Art Practice,ART,Art Practice,12,1,Lang Of Draw,Masako Miki,13081,,21,,,2,,,,,,,,,1,,,,,24
2016 Fall,Art Practice,ART,Art Practice,12,2,Lang Of Draw,Craig Nagasawa,13076,,19,,,1,,,,,,,,,1,,,,,21
2016 Fall,Art Practice,ART,Art Practice,13,1,Lang Of Painting,John Mcnamara,13085,,19,3,,1,,,,,,,,,1,,,,,24
2016 Fall,Art Practice,ART,Art Practice,14,1,Lang Of Sculpture,Randy Hussong,13077,,10,3,4,1,1,,,,,,,,,,,,,19
2016 Fall,Art Practice,ART,Art Practice,15,1,Lang Sculp:Ceram,Erik Scollon,13079,,4,9,,3,,2,,,,,,,4,,,,,22
2016 Fall,Art Practice,ART,Art Practice,16,1,Intro Printmaking,Randy Hussong,13080,,15,3,,,,,1,,,,,,,,,,,19
2016 Fall,Art Practice,ART,Art Practice,21,1,Digital Photography,Stephanie Syjuco,13084,2,7,6,2,,,,,,,,,,1,,,,,18
2016 Fall,Art Practice,ART,Art Practice,102,1,Approaches To Ptng,James Pitt,13082,1,16,,,,,,,,,,,,,,,,1,18
2016 Fall,Art Practice,ART,Art Practice,102,2,Approaches To Ptng,Indira Morre,13083,4,10,7,,1,,,,,,,,,,,,,,22
2016 Fall,Art Practice,ART,Art Practice,117,1,Drawing Composition,Craig Nagasawa,13089,,12,1,,1,,,,,,,,,,,,,,14
2016 Fall,Art Practice,ART,Art Practice,118,1,Figure Drawing,Indira Morre,13075,3,15,4,1,1,,,,,,,,,,,,,,24
