Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments
2017 Spring,Public Health,PB HLTH,Public Health,299,44,Independnt Research,Patricia Wakimoto,34235,,5,,,,,,,,,,,,,8,,,,13
2017 Spring,Slavic Languages & Lit,SLAVIC,Slavic Languages & Lit,133,1,Russian Novel,Lyubov Golburt,31910,,7,6,,,,,,,,,,,,,,,,13
2017 Spring,Education,EDUC,Education,275H,1,Multilevel Modeling,Sophia Rabe-Hesketh,28205,,12,,,,,,,,,,,,,2,,,,14
2017 Spring,Journalism,JOURN,Journalism,212,1,Advanced Radio,Anna Sussman,28696,2,12,,,,,,,,,,,,,,,,,14
2017 Spring,Theater Dance & Perf Stds,THEATER,Theater Dance & Perf Stds,181,1,Theatrical Drm Text,Margo Hall-callender,23744,7,7,,,,,,,,,,,,,,,,,14
2017 Spring,Law,LEGALST,Law,276P,1,Info Privacy Law,Andrew Kloss; Paul Schwartz,30386,,1,,,,,,,,,,,,13,,,,,14
2017 Spring,Journalism,JOURN,Journalism,219,3,Mini-Special Topics,Chris Ballard,28702,,,,,,,,,,,,,,1,13,,,,14
2017 Spring,Bioengineering,BIO ENG,Bioengineering,C216,1,Macro Sci Biotech,Niren Murthy,33337,5,9,,,,,,,,,,,,,,,,,14
2017 Spring,Journalism,JOURN,Journalism,283,2,Reporting For T.V.,Elizabeth Rate; Richard Hernandez,34409,12,2,,,,,,,,,,,,,,,,,14
2017 Spring,Theater Dance & Perf Stds,THEATER,Theater Dance & Perf Stds,111,1,Adv. Acting Studio,Lura Dolas,23696,,11,3,,,,,,,,,,,,,,,,14
2017 Spring,Public Health,PB HLTH,Public Health,253G,1,Std Control,Heidi Bauer,32631,,,,,,,,,,,,,,3,11,,,,14
2017 Spring,History,HISTORY,History,283,1,Hist Meth Theory,Kerwin Klein; Leah Flanagan; Mark Peterson,16297,,8,6,,,,,,,,,,,,,,,,14
2017 Spring,Asian American Studies,ASAMST,Asian American Studies,198,6,Superv Group Study,Harvey Dong,13098,,,,,,,,,,,,,,13,,1,,,14
2017 Spring,Economics,ECON,Economics,218,1,Sem In Psych & Econ,Ulrike Malmendier,14377,,12,,,,,,,,,,,,,2,,,,14
2017 Spring,English,ENGLISH,English,98BC,2,Directed Group Stud,Aileen Liu; David Landreth,14604,,,,,,,,,,,,,,13,,1,,,14
2017 Spring,Sociology,SOCIOL,Sociology,198BC,7,Directed Group Stud,Griselda Mora,22917,,,,,,,,,,,,,,13,,1,,,14
2017 Spring,Chemical Engineering,CHM ENG,Chemical Engineering,H194,8,Resrch Adv Undergrd,Jay Keasling,11632,8,6,,,,,,,,,,,,,,,,,14
2017 Spring,City & Regional Planning,CY PLAN,City & Regional Planning,228,1,Wkshp Met/Reg Plng,Sara Hinkley,33678,1,13,,,,,,,,,,,,,,,,,14
2017 Spring,Public Health,PB HLTH,Public Health,296,1,Special Study,Alan Hubbard; Lexin Li,32527,,8,,,,,,,,,,,,,6,,,,14
2017 Spring,Economics,ECON,Economics,221,1,Indust Org Sem,Kei Kawai,14382,,10,,,,,,,,,,,,,4,,,,14
2017 Spring,Integrative Biology,INTEGBI,Integrative Biology,234,1,Herpetology Sem,David Wake; Marvalee Wake,16992,,,,,,,,,,,,,,2,12,,,,14
2017 Spring,Sociology,SOCIOL,Sociology,98BC,3,Directed Group Stud,Griselda Mora,22758,,,,,,,,,,,,,,13,,1,,,14
2017 Spring,Theater Dance & Perf Stds,THEATER,Theater Dance & Perf Stds,181,2,Theatrical Drm Text,Philip Gotanda,23745,,11,,3,,,,,,,,,,,,,,,14
2017 Spring,"Env Sci, Policy, & Mgmt",ESPM,"Env Sci, Policy, & Mgmt",198,15,Directed Group Stdy,Kathryn De Master,24882,,,,,,,,,,,,,,13,,1,,,14
2017 Spring,Political Science,POL SCI,Political Science,H190B,1,Honors Seminar,Amy Gurowitz,21240,,11,3,,,,,,,,,,,,,,,,14
2017 Spring,Mechanical Engineering,MEC ENG,Mechanical Engineering,290L,1,Intro Nano-Biology,Lydia Sohn,33121,,13,,,,,,,,,,,,,1,,,,14
2017 Spring,Philosophy,PHILOS,Philosophy,98BC,2,Directed Group Stud,Lara Buchak,20159,,,,,,,,,,,,,,13,,1,,,14
2017 Spring,Sociology,SOCIOL,Sociology,H190B,1,Sr Honor Thesis Sem,Mary Kelsey,22838,5,9,,,,,,,,,,,,,,,,,14
2017 Spring,Political Science,POL SCI,Political Science,198,4,Directed Group Stdy,Aditya Mistry; Michaela Mattes; Rohan Narain,21276,,,,,,,,,,,,,,14,,1,,,15
2017 Spring,Physics,PHYSICS,Physics,290E,1,Seminar,Barbara Jacak; Kam-Biu Luk,20939,,,,,,,,,,,,,,,14,,1,,15
2017 Spring,German,GERMAN,German,98,1,Directed Group Stdy,Jeroen Dewulf,15707,,,,,,,,,,,,,,13,,2,,,15
2017 Spring,Physics,PHYSICS,Physics,98BC,4,Directed Group Stud,Bernard Sadoulet; Paul Riggins,20776,,,,,,,,,,,,,,14,,1,,,15
2017 Spring,Mathematics,MATH,Mathematics,98,20,Directed Group Stdy,Michael Wong; Olga Holtz,18208,,,,,,,,,,,,,,12,,3,,,15
2017 Spring,Architecture,VIS STD,Architecture,204B,3,Thesis Studio,William Atwood,11934,2,13,,,,,,,,,,,,,,,,,15
2017 Spring,Vision Science,VIS SCI,Vision Science,201B,1,Sem Vision Science,Karsten Gronert,28817,,3,,,,,,,,,,,,,12,,,,15
2017 Spring,Media Studies,MEDIAST,Media Studies,199,1,Superv Indep Study,Josh Jackson,19521,,,,,,,,,,,,,,14,,1,,,15
2017 Spring,Music,MUSIC,Music,149,1,Baroque Ensemble,Christine Brandes; Christine Brandes,19657,,14,1,,,,,,,,,,,,,,,,15
2017 Spring,Physics,PHYSICS,Physics,198BC,4,Directed Group Stud,Bernard Sadoulet; Paul Riggins,20873,,,,,,,,,,,,,,14,,1,,,15
2017 Spring,Public Health,PB HLTH,Public Health,196,7,Spec Topics Pb Hlth,David Potts,33696,,6,,,,,,,,,,,,9,,,,,15
2017 Spring,English,ENGLISH,English,198BC,4,Directed Group Stud,Adrian Acu; David Landreth,14704,,,,,,,,,,,,,,14,,1,,,15
2017 Spring,Mechanical Engineering,MEC ENG,Mechanical Engineering,299,51,Indiv Stud Research,Sara Beckman,27883,,,,,,,,,,,,,,,14,,1,,15
2017 Spring,Social Welfare,SOC WEL,Social Welfare,98,2,Directed Group Stdy,Gregory Merrill,29637,,,,,,,,,,,,,,14,,1,,,15
2017 Spring,Architecture,VIS STD,Architecture,202,2,Grad Option Std,Rene Davids,11929,2,13,,,,,,,,,,,,,,,,,15
2017 Spring,"Env Sci, Policy, & Mgmt",ESPM,"Env Sci, Policy, & Mgmt",198BC,1,Directed Group Stud,Erica Rosenblum,24894,,,,,,,,,,,,,,14,,1,,,15
2017 Spring,Vision Science,VIS SCI,Vision Science,298,1,Group Studies,Austin Roorda,28842,,2,,,,,,,,,,,,,13,,,,15
2017 Spring,Health & Medical Sciences,HMEDSCI,Health & Medical Sciences,200D,1,Medical Curriculum,Karen Sokal-Gutierrez; Kent Olson; Ronald Dahl,28902,,14,,2,,,,,,,,,,,,,,,16
2017 Spring,Music,MUSIC,Music,150A,1,Instrumental Perf,Alicia Telford; Antoine Van Dongen; David Granger; David Milnes; Ellen Rose; Hrafnhildur Atladottir; Irene Sharp; Jonathan Koh; Leighton Fong; Loren Mach; Maria Tamburrino; Richard Worn; Sarah Rathke; William Harvey,19658,1,15,,,,,,,,,,,,,,,,,16
2017 Spring,Slavic Languages & Lit,SLAVIC,Slavic Languages & Lit,R5B,2,Reading And Comp,Antje Postema,22571,,7,9,,,,,,,,,,,,,,,,16
2017 Spring,Art Practice,ART,Art Practice,198,5,Directed Group Stdy,Allan Desouza,12923,,,,,,,,,,,,,,15,,1,,,16
2017 Spring,Public Health,PB HLTH,Public Health,198,3,Directed Group Stdy,Kristine Madsen,34392,,,,,,,,,,,,,,15,,1,,,16
2017 Spring,Chemistry,CHEM,Chemistry,299,59,Research,Dean Toste,11508,,15,,,,,,,,,,,,,1,,,,16
2017 Spring,Mathematics,MATH,Mathematics,198BC,3,Directed Group Stud,Antonio Montalban; Edward Scerbo,18309,,,,,,,,,,,,,,15,,1,,,16
