Grade Distribution for Fall 2013 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments
2013 Fall,Architecture,ARCH,Architecture,110AC,001,Soc/Cult Bas Dsgn,Johann Nicholas Sagan; Lusi Morhayim,03702,7,44,18,13,10,7,3,3,7,,,,,5,,,,1,118
2013 Fall,Architecture,ARCH,Architecture,130,001,Intr Arch Des Th/Cr,Steven Doctors,03729,2,8,8,12,13,5,5,5,5,,,,1,1,,,,,65
2013 Fall,Architecture,ARCH,Architecture,144,001,Intro To Acoustics,Charles Salter,03741,,,,,,,,,,,,,,18,1,1,,,20
2013 Fall,Architecture,ARCH,Architecture,150,001,Intro To Structures,R.Gary Black,03744,1,12,15,18,16,26,8,10,2,2,,,3,2,,6,,,121
2013 Fall,Architecture,ARCH,Architecture,170A,001,"Hist, Arch&Urbanism",Andrew Shanken,03765,,8,11,26,24,27,12,11,7,,2,,1,4,,,,1,134
2013 Fall,Architecture,ARCH,Architecture,179,003,"Prosem, Arch Hist",Margaret Crawford,03800,,3,4,10,,,,,,,,,,,,,,1,18
2013 Fall,Architecture,ENV DES,Environmental Design,1,001,People & Env Des,Linda Jewell,28803,7,13,23,18,12,7,4,2,,,,,2,1,,,,,89
2013 Fall,Architecture,ENV DES,Environmental Design,4B,001,Global Cities,Carolina Reid; Kristina Hill; Marco Cenzatti,28820,,16,15,7,3,3,1,,,,,,,2,,1,,,48
2013 Fall,Architecture,ENV DES,Environmental Design,11A,001,Intro Vis Rep Draw,Darell Fields,28821,,1,5,4,8,3,1,1,5,,1,,,,,,,,29
2013 Fall,Architecture,ENV DES,Environmental Design,11B,001,Intro To Design,Walter Hood,28833,,5,9,12,9,5,,2,,,,,,,,,,,42
2013 Fall,Architecture,ENV DES,Environmental Design,101B,001,1 Long Composition,Raymond Lifchez,28869,4,6,1,,1,,,,,,,,,1,,,,,13
2013 Fall,Architecture,ENV DES,Environmental Design,C169A,001,Am Landscpe To 1900,Paul Groth,28872,,9,4,3,4,,1,5,,,,,,3,,2,,,31
2013 Fall,Architecture,ENV DES,Environmental Design,198,001,Directed Group Stdy,Jennifer Wolch,28887,,,,,,,,,,,,,,17,,,,2,19
2013 Fall,Architecture,VIS STD,Visual Studies,185X,001,Word And Image,Anthony Dubovsky,04153,2,11,1,,,,,,,,,,,1,,,,,15
2013 Fall,Architecture,VIS STD,Visual Studies,186B,001,Photo Art Form,Jean Bourdier,04156,1,,6,3,,,,,,,,,,1,,,,,11
2013 Fall,Art Practice,ART,Art Practice,8,001,Intro Vis Thinking,John Mcnamara,04303,20,20,10,2,6,1,,1,,,,,,,,,,1,61
2013 Fall,Art Practice,ART,Art Practice,12,001,Lang Of Draw,Stephanie Lie,04318,2,16,1,1,,1,,,,,,,,,,,,,21
2013 Fall,Art Practice,ART,Art Practice,12,002,Lang Of Draw,Craig Nagasawa,04321,,14,,1,1,,,,,,,,,1,,,,,17
2013 Fall,Art Practice,ART,Art Practice,13,002,Lang Of Painting,John Mcnamara,04324,,20,2,1,,,,,,,,,,,,,,,23
2013 Fall,Art Practice,ART,Art Practice,14,001,Lang Of Sculpture,Randy Hussong,04327,2,13,1,2,,1,,,,,,,,,,,,,19
2013 Fall,Art Practice,ART,Art Practice,14,002,Lang Of Sculpture,Erik Scollon,04330,,,4,4,,,,2,,,,,1,1,,,,,12
2013 Fall,Art Practice,ART,Art Practice,16,001,Intro Printmaking,Randy Hussong,04333,,13,2,,3,2,,,,,,,,,,,,,20
2013 Fall,Art Practice,ART,Art Practice,21,001,Digital Photography,Allan Desouza,04336,,5,13,1,1,,,,,,,,,,,,,,20
2013 Fall,Art Practice,ART,Art Practice,26,001,Digital Video,Anne Walsh,04339,,8,5,,1,,,2,,,,,,1,,,,1,18
2013 Fall,Art Practice,ART,Art Practice,102,001,Approaches To Ptng,Katherine Sherwood,04402,,13,5,3,2,1,1,,,,,,,,,,,,25
2013 Fall,Art Practice,ART,Art Practice,102,002,Approaches To Ptng,Lordy Rodriguez,04405,,7,8,3,,,,,,,,,,1,,,,,19
2013 Fall,Art Practice,ART,Art Practice,117,001,Drawing Composition,Craig Nagasawa,04408,3,20,,,,,,,,,,,,,,,,,23
2013 Fall,Art Practice,ART,Art Practice,118,001,Figure Drawing,Indira Morre,04411,3,14,7,,1,,,,,,,,,,,,,,25
2013 Fall,Art Practice,ART,Art Practice,119,001,Gpca,Jenifer Wofford,04414,2,6,6,2,2,3,,1,,,,,,,,,,1,23
2013 Fall,Art Practice,ART,Art Practice,120,001,App To Prntmg Intag,Randy Hussong,04416,1,16,2,,1,,,,,,,,,,,,,,20
2013 Fall,Art Practice,ART,Art Practice,132,001,App To Sculp Ceram,Michael Swaine,04420,7,4,4,,,,,,,,,,,,,,,,15
2013 Fall,Art Practice,ART,Art Practice,133,002,Meaning/Material,Daniel Nevers,04423,,10,7,1,3,,,,,,,,,,,,,,21
2013 Fall,Art Practice,ART,Art Practice,160,002,Spec Topics Vis Std,Elise Putnam,04428,2,2,2,,,1,,,,,,,1,1,,1,,,10
2013 Fall,Art Practice,ART,Art Practice,164,001,Art And Meditation,Katherine Sherwood,04432,2,9,1,3,1,,,,,,,,,,,,,,16
2013 Fall,Art Practice,ART,Art Practice,173,001,Sound Art,Christopher Kubick,04438,,9,8,,,,,,,,,,,1,,,,1,19
2013 Fall,Art Practice,ART,Art Practice,185,001,Sn Projects,Greg Niemeyer,04441,5,18,,,,,,,,,,,,,,,,,23
2013 Fall,Astronomy,ASTRON,Astronomy,7A,001,Intro Astrophysics,Mariska Kriek,05903,5,5,6,6,10,10,4,6,3,,1,,2,1,,3,,,62
2013 Fall,Astronomy,ASTRON,Astronomy,10,001,General Astronomy,Leo Blitz,05915,4,26,18,10,7,6,7,3,2,,,,,73,,5,,,161
2013 Fall,Astronomy,ASTRON,Astronomy,C12,001,The Planets,Geoffrey Marcy,05936,,26,11,22,16,16,10,11,2,,1,,1,38,,3,,,157
2013 Fall,Astronomy,ASTRON,Astronomy,C13,001,Orgins Big Bang,Charles Marshall; Eliot Quataert,05974,2,7,5,6,3,3,4,,,1,,,1,16,,1,,,49
2013 Fall,Astronomy,ASTRON,Astronomy,98,001,Directed Group Stdy,Geoffrey Marcy,05975,,,,,,,,,,,,,,12,,1,,,13
2013 Fall,Astronomy,ASTRON,Astronomy,160,001,Stellar Physics,Geoffrey Marcy,06002,3,4,,4,9,,,7,,,,,,,,,,,27
2013 Fall,Astronomy,ASTRON,Astronomy,198,001,Directed Group Stdy,Geoffrey Marcy,06023,,,,,,,,,,,,,,7,,3,,,10
2013 Fall,Bioengineering,BIO ENG,Bioengineering,10,001,Intro/Biomed Engin,Terry Johnson,06353,2,74,26,33,8,2,,3,,,,,,,,,,,148
2013 Fall,Bioengineering,BIO ENG,Bioengineering,24,001,Aspects Of Bioeng,Terry Johnson,06365,,,,,,,,,,,,,,255,,7,,,262
2013 Fall,Bioengineering,BIO ENG,Bioengineering,100,001,Ethics In Sci & Eng,Teresa Head-Gordon,06533,2,22,16,7,10,3,1,1,1,,,1,1,29,,1,,,95
2013 Fall,Bioengineering,BIO ENG,Bioengineering,102,001,Biomechanics,Song Li,06542,6,23,24,20,4,3,2,1,,,,,,,,,,1,84
2013 Fall,Bioengineering,BIO ENG,Bioengineering,110,001,Biomed Phys For Eng,Sanjay Kumar,06562,1,7,3,3,3,3,1,,,,,,,,,,,,21
2013 Fall,Bioengineering,BIO ENG,Bioengineering,113,001,Stem Cells & Tech,Michael Conboy,06563,1,4,12,14,2,2,3,1,,,,,,2,,,,,41
2013 Fall,Bioengineering,BIO ENG,Bioengineering,115,001,Cell Bio For Eng,Hayley Lam,06572,1,17,11,1,1,1,,,,,,,,,,,,,32
2013 Fall,Bioengineering,BIO ENG,Bioengineering,C117,001,Struct Asp Biomater,Lisa Pruitt,06580,1,6,2,2,,,,,,,,,,,,,,,11
2013 Fall,Bioengineering,BIO ENG,Bioengineering,C118,001,Biolog Perf Mats,Shyam Patel,06581,1,3,3,6,3,4,1,,,,,,,,,,,,21
2013 Fall,Bioengineering,BIO ENG,Bioengineering,121,001,Biomems & Med Dev,Luke Lee,06599,4,22,4,4,1,1,,,,,,,,,,,,,36
2013 Fall,Bioengineering,BIO ENG,Bioengineering,121L,011,Biomems Bionano Lab,Dorian Liepmann,06608,4,7,2,,,,,,,,,,,,,,,,13
2013 Fall,Bioengineering,BIO ENG,Bioengineering,131,001,Intro To Comp Mcb,Ian Holmes,06626,,12,8,2,3,4,1,2,,,,,1,1,,,,,34
2013 Fall,Bioengineering,BIO ENG,Bioengineering,132,001,Genetic Devices,John Anderson,06635,,6,4,2,3,1,3,1,1,,,,,,,,,,21
2013 Fall,Bioengineering,BIO ENG,Bioengineering,140L,001,Synth Bio Lab,John Dueber,06641,,3,2,2,3,,,,,2,,,,,,,,,12
2013 Fall,Bioengineering,BIO ENG,Bioengineering,C145L,001,Transducer Lab,Stephen Derenzo,06647,2,1,1,3,,,2,1,,,,,,,,,,,10
2013 Fall,Bioengineering,BIO ENG,Bioengineering,147,001,Prin Of Syn Bio,Adam Arkin,06656,1,3,2,3,1,,1,,,,,,1,,,1,,,13
2013 Fall,Bioengineering,BIO ENG,Bioengineering,150,001,Intro To Bio & Bion,Seung-Wuk Lee,06661,7,12,,6,6,,,,,,,,,,,1,,,32
2013 Fall,Bioengineering,BIO ENG,Bioengineering,C165,001,Image Processing,Steven Conolly,06668,1,1,4,2,2,1,,,,,,,,,,,,,11
2013 Fall,Bioengineering,BIO ENG,Bioengineering,168L,001,Prac Lt Microscopy,Daniel Fletcher,06674,1,6,1,6,1,3,,,,,,,,,,,,1,19
2013 Fall,Bioengineering,BIO ENG,Bioengineering,C181,001,Energy From Biomass,Wenjun Zhang,06683,2,6,2,1,,,,,,,,,,1,,,,,12
2013 Fall,Bioengineering,BIO ENG,Bioengineering,192,001,Sr Design Project,Amy Herr,06686,2,30,,,,,,,,,,,,,,,,,32
2013 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C50,001,Intro To Buddhism,Jacob Dalton,07903,,3,14,10,2,1,1,,1,,,,,8,,3,,,43
2013 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C115,001,Japanese Buddhism,Mark Blum,07924,,5,1,4,1,,,,1,,,,1,3,,,,,16
2013 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C120,001,Buddhsm-Silk Road,Sanjyot Mehendale,07927,1,15,2,3,,,,,,,,,,1,,1,,,23
2013 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C130,001,Zen Buddhism,Robert Sharf,07930,,4,1,4,2,1,,,,,,,,4,,,,1,17
2013 Fall,Business,UGBA,Business Admin-Undergrad,C5,001,Intro To Entrep,Ajay Bam,08053,1,,12,4,1,,,,,,,,,9,,,,,27
2013 Fall,Business,UGBA,Business Admin-Undergrad,10,001,Principles Of Bus,Cristina Banks; Krystal Thomas; Maria Nondorf; Omar Romero-Hernandez,08056,3,73,94,88,94,25,11,21,7,3,3,,2,18,,3,,,445
2013 Fall,Business,UGBA,Business Admin-Undergrad,24,001,Freshman Seminars,David Levine,08105,,8,4,2,,,,,,,,,,1,,,,,15
2013 Fall,Business,UGBA,Business Admin-Undergrad,100,001,Business Comm,Krystal Thomas,08164,1,3,17,6,1,,,1,,,,,,,,,,,29
2013 Fall,Business,UGBA,Business Admin-Undergrad,100,002,Business Comm,Krystal Thomas,08167,1,2,18,8,1,,1,,,,,,,,,,,,31
2013 Fall,Business,UGBA,Business Admin-Undergrad,100,003,Business Comm,Daniel Himelstein,08170,,2,17,9,,,,,,,,,,,,,,,28
2013 Fall,Business,UGBA,Business Admin-Undergrad,100,004,Business Comm,Arturo Perez-Reyes,08173,,,2,13,14,1,,,,,,,,,,,,,30
2013 Fall,Business,UGBA,Business Admin-Undergrad,100,005,Business Comm,Arturo Perez-Reyes,08176,,,1,14,13,,,,,,,,,,,,,,28
2013 Fall,Business,UGBA,Business Admin-Undergrad,100,006,Business Comm,Evan Elliot,08179,,,18,7,,,,,,,,,,,,,,,25
2013 Fall,Business,UGBA,Business Admin-Undergrad,101A,001,Microeconomic Analy,Aaron Bodoh-Creed,08182,3,16,16,9,23,8,7,5,1,,,,,5,,,,,93
2013 Fall,Business,UGBA,Business Admin-Undergrad,101A,002,Microeconomic Analy,Aaron Bodoh-Creed,08191,3,12,10,9,20,7,5,4,,,,,,4,,,,,74
2013 Fall,Business,UGBA,Business Admin-Undergrad,101A,003,Microeconomic Analy,Todd Fitch,08200,,12,15,18,18,22,2,6,,,2,,,1,,1,,2,99
