UC Berkeley Spring 2007 Course Grades,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
BIO ENG,C105B,001,THERMO & BIOTHERMO ,"CAREY, V P        ",0,5,3,11,2,1,1,0,0,0,0,0,0
BIO ENG,C141,001,STAT BIOINFO       ,"HUANG, H          ",0,4,10,7,0,0,0,0,0,0,0,0,0
BIO-CDB, 001A,001,GENERAL BIOLOGY LEC,"SCHLISSEL, M S    ",3,99,41,72,74,56,86,84,65,18,8,10,32
BIO-CDB, 001AL,001,GENERAL BIOLOGY LAB,"MEIGHAN, M R      ",6,113,80,44,67,73,61,61,49,6,7,10,19
BIO-IB, 001B,001,GENERAL BIOLOGY    ,"FELDMAN, L J      ",12,50,33,139,113,105,47,81,26,23,16,0,16
BIO-PB, 011,001,INTR SCI LIVING ORG,"HARMON, F         ",0,18,0,0,20,0,0,12,0,0,5,0,4
BIO-PB, 011L,001,LAB FOR BIOLOGY 11 ,"HARMON, F         ",0,7,0,0,4,0,0,2,0,0,0,0,0
CELTIC, 128,001,MED CELTIC CULTURE ,"REJHON, A C       ",0,14,2,4,0,2,1,1,1,0,0,0,2
CELTIC, 129,001,MOD CELTIC CULTURES,"KLAR, K A         ",2,13,5,3,0,1,0,0,0,0,0,0,0
CELTIC,R001A,001,VOICES/CELTIC WORLD,"AGOZZINO, M T     ",0,5,1,3,7,0,0,0,0,0,0,0,0
CELTIC,R001B,001,VOICES/CELTIC WORLD,"STARR-REID, K A   ",2,3,2,6,3,1,0,0,0,1,0,0,0
CHEM, 001A,001,GENERAL CHEMISTRY  ,"NITSCHE, H        ",4,29,20,27,62,25,53,76,2,0,6,0,1
CHEM, 001A,002,GENERAL CHEMISTRY  ,"NITSCHE, H        ",3,29,19,21,53,22,49,75,3,0,9,0,6
CHEM, 001B,001,GENERAL CHEMISTRY  ,"SAYKALLY, R J     ",4,33,6,7,35,6,2,17,3,0,5,0,1
CHEM, 003A,001,CHEM STRUCT REACT  ,"FRECHET, J        ",24,35,50,34,30,36,29,30,41,0,39,0,30
CHEM, 003A,002,CHEM STRUCT REACT  ,"FRECHET, J        ",28,61,70,52,44,55,37,44,52,0,43,0,35
CHEM, 003AL,001,ORGANIC CHEM LAB   ,"PEDERSEN, S F     ",0,140,212,24,4,6,0,2,1,0,0,0,3
CHEM, 003AL,002,ORGANIC CHEM LAB   ,"PEDERSEN, S F     ",0,206,245,17,8,5,1,2,0,0,0,0,4
CHEM, 003B,001,CHEM STRUCT REACT  ,"PEDERSEN, S F     ",11,84,42,92,70,65,60,68,75,0,16,0,34
CHEM, 003BL,001,ORGANIC CHEM LAB   ,"PEDERSEN, S F     ",4,71,96,37,11,7,11,6,4,0,0,0,7
CHEM, 003BL,002,ORGANIC CHEM LAB   ,"PEDERSEN, S F     ",0,21,20,9,6,7,0,1,0,0,0,0,2
CHEM, 004B,001,GEN CHM QUANT ANALY,"DOUSKEY, M        ",11,27,25,15,63,10,6,13,0,0,0,0,0
CHEM, 100,001,COMMUNICATING CHEM ,"STACY, A M        ",0,15,11,0,0,0,0,0,0,0,0,0,0
CHEM, 104A,001,ADV INORGANIC CHEM ,"ANDERSEN, R A     ",1,4,5,7,5,2,0,8,0,0,0,0,3
CHEM, 104B,001,ADV INORGANIC CHEM ,"TILLEY, T D       ",1,4,13,6,2,8,4,9,5,0,1,0,3
CHEM, 105,001,INSTRUMEN ANALYSIS ,"MAJDA, M M        ",0,13,1,0,9,2,0,8,1,0,0,0,0
CHEM, 108,001,INORGANIC SYNTHESIS,"ANDERSEN, R A     ",0,5,5,4,1,0,0,2,0,0,0,0,0
CHEM, 112B,001,ORGANIC CHEMISTRY  ,"SARPONG, R        ",11,18,22,11,29,12,3,9,5,0,6,0,9
CHEM, 113,001,ADV MECH ORGAN CHEM,"TRAUNER, D        ",5,11,7,9,9,0,0,9,0,0,1,0,1
CHEM, 120A,001,PHYSICAL CHEMISTRY ,"WHALEY, K B       ",4,4,10,35,28,19,4,6,1,0,3,0,6
CHEM, 120B,001,PHYSICAL CHEMISTRY ,"CHANDLER, D       ",2,10,3,0,9,3,0,7,3,0,0,0,0
CHEM, 120B,002,PHYSICAL CHEMISTRY ,"GROVES, J         ",2,15,2,0,12,4,0,8,4,0,0,0,0
CHEM, 125,001,PHYS CHEM LAB      ,"SHANK, C V        ",2,21,12,1,7,5,4,1,1,0,1,0,1
CHEM, 130B,001,BIOPHYSICAL CHEM   ,"MATHIES, R A      ",1,3,2,2,4,0,0,5,0,0,0,0,0
CHEM, 135,001,CHEMICAL BIOLOGY   ,"FRANCIS, M B      ",4,16,4,4,9,2,7,7,5,0,3,0,1
CHEM,C150,001,INTR MATERIALS CHEM,"LONG, J R         ",0,6,1,1,1,2,0,0,0,0,0,0,0
CHICANO, 020,001,INTRO CHICANO CULT ,"DAVILA-SANCHEZ, A ",0,5,2,17,5,0,0,0,0,0,0,0,0
CHICANO, 040,001,INTRO CHICANO LIT  ,"PEREZ, L E        ",1,5,10,7,5,1,2,0,0,0,0,0,0
CHICANO, 133,001,CHICANO MUSIC      ,"ARTEAGA, A        ",0,26,7,6,1,0,0,0,0,0,0,0,0
CHICANO, 135,001,CHICANO/LATINO FILM,"TELLES, R         ",2,3,15,3,1,0,0,1,0,0,0,0,0
CHICANO, 145,001,CHICANA ISSUES     ,"PESQUERA, B M     ",0,8,2,3,2,0,0,0,0,0,0,0,0
CHICANO, 159,001,MEXICAN IMMIGRATION,"MUNOZ, C J        ",4,39,7,8,7,0,0,0,0,0,0,0,0
CHICANO, 165,001,"CUBA, US, & CUBA AM","SARAGOZA, A M     ",0,5,5,5,5,2,5,0,1,0,1,0,0
CHICANO, 172,001,CHICANO & EDUC SYST,"CHAVEZ, L F       ",3,11,4,10,4,0,0,0,0,0,0,0,0
CHICANO, 180,002,TOPICS IN CHIC STUD,"RODRIGUEZ, C H    ",3,3,2,4,2,0,2,0,0,0,0,0,0
CHICANO, 180,006,TOPICS IN CHIC STUD,"TELLES, R         ",0,5,10,1,2,0,0,0,0,0,0,0,0
CHINESE, 001B,003,ELEMENTARY CHINESE ,"YANG, Y           ",0,10,1,4,3,1,0,0,0,0,0,0,0
CHINESE, 001B,004,ELEMENTARY CHINESE ,"YANG, Y           ",0,8,7,2,2,1,0,0,0,0,0,0,0
CHINESE, 001B,005,ELEMENTARY CHINESE ,"YANG, Y           ",0,6,2,3,2,2,1,0,0,0,0,0,0
CHINESE, 001BX,001,ELEM CHINESE MANDAR,"LIU, L            ",0,4,8,0,1,0,0,0,0,0,0,0,0
CHINESE, 001BX,002,ELEM CHINESE MANDAR,"LIU, L            ",0,5,5,0,1,0,0,2,1,0,0,0,0
CHINESE, 001BX,003,ELEM CHINESE MANDAR,"LIU, L            ",0,5,7,3,1,0,0,0,0,0,0,0,0
CHINESE, 001BX,004,ELEM CHINESE MANDAR,"LIU, L            ",0,12,3,0,1,0,0,0,0,0,0,0,0
CHINESE, 001BY,001,ELEM CHINESE DIALEC,"ZHANG, L          ",0,8,3,3,4,1,0,0,0,1,0,0,0
CHINESE, 001BY,002,ELEM CHINESE DIALEC,"ZHANG, L          ",0,10,4,3,0,0,0,0,0,0,0,0,0
CHINESE, 001BY,003,ELEM CHINESE DIALEC,"HSU, H            ",0,6,4,2,2,0,0,0,0,0,0,0,0
CHINESE, 007B,001,MODERN CHINESE LIT ,"VOLPP, S Y        ",0,13,15,15,2,1,1,0,0,0,0,1,0
CHINESE, 010B,001,INTER CHINESE      ,"CHU, C P          ",0,5,1,2,0,3,1,0,0,0,0,0,0
CHINESE, 010B,002,INTER CHINESE      ,"CHU, C P          ",0,6,2,0,0,2,1,0,0,0,0,0,0
CHINESE, 010B,003,INTER CHINESE      ,"CHU, C P          ",0,8,1,2,1,0,0,0,0,0,0,0,1
CHINESE, 010BX,002,INTERMED CHINESE MA,"LI, R             ",0,12,3,0,0,0,0,0,0,0,0,0,0
CHINESE, 010BX,003,INTERMED CHINESE MA,"LI, R             ",0,7,6,0,0,0,1,0,0,0,0,0,0
CHINESE, 010BX,004,INTERMED CHINESE MA,"LI, R             ",0,6,5,0,0,2,0,0,0,0,0,0,0
CHINESE, 010BX,005,INTERMED CHINESE MA,"CHANG, H          ",0,10,4,1,1,0,0,0,0,0,0,0,0
