Grade Distribution for Fall 2014 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall  (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Sereeta Alexander) 3/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2014 Fall,Bioengineering,BIO ENG,Bioengineering,115,001,Cell Bio For Eng,Hayley Lam,06528,1,14,10,5,1,,,,,,,,,,,,,,31
2014 Fall,Bioengineering,BIO ENG,Bioengineering,C118,001,Biolog Perf Mats,Shyam Patel,06537,3,7,7,4,9,7,4,1,,,,,,,,,,,42
2014 Fall,Bioengineering,BIO ENG,Bioengineering,C119,001,Orthop Biomech,Tony Keaveny,06543,,1,4,3,4,1,1,,,,,,,1,,,,,15
2014 Fall,Bioengineering,BIO ENG,Bioengineering,121L,011,Biomems Bionano Lab,Dorian Liepmann,06552,2,8,4,2,,,,,,,,,,,,,,,16
2014 Fall,Bioengineering,BIO ENG,Bioengineering,132,001,Genetic Devices,John Anderson,06573,1,5,3,4,5,5,1,,,,,,,,,,,,24
2014 Fall,Bioengineering,BIO ENG,Bioengineering,140L,001,Synth Bio Lab,John Dueber,06579,,5,2,,,1,1,1,,,,,,,,,,,10
2014 Fall,Bioengineering,BIO ENG,Bioengineering,C144,001,Intro To Pro Infor,Kimmen Sjolander,06585,1,4,1,5,1,3,,,1,,1,,,,,1,,,18
2014 Fall,Bioengineering,BIO ENG,Bioengineering,147,001,Prin Of Syn Bio,Adam Arkin,06606,3,1,2,1,2,1,1,,1,,,1,,1,,,,,14
2014 Fall,Bioengineering,BIO ENG,Bioengineering,150,001,Intro To Bio & Bion,Seung-Wuk Lee,06612,4,21,,12,7,,,,,,,,,1,,,,,45
2014 Fall,Bioengineering,BIO ENG,Bioengineering,163,001,Prin Of Molec & Cel,Gerard Marriott,06618,,10,8,2,2,,,,,,,,,,,,,,22
2014 Fall,Bioengineering,BIO ENG,Bioengineering,C165,001,Med Img Sig & S,Steven Conolly,06624,3,4,2,5,2,1,,,,,,,,,,,,,17
2014 Fall,Bioengineering,BIO ENG,Bioengineering,C181,001,Energy From Biomass,Wenjun Zhang,06630,,5,6,5,,,,,,,,,,,,,,,16
2014 Fall,Bioengineering,BIO ENG,Bioengineering,192,001,Sr Design Project,Amy Herr,06636,,18,3,5,5,,,,,,,,,,,,,,31
2014 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C50,001,Intro To Buddhism,Robert Sharf,07853,2,8,7,6,6,3,4,1,,,,,,7,,,,,44
2014 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C114,001,Tibetan Buddhism,Jann Ronis,07872,,4,2,1,2,,,,,,,,,1,,,,,10
2014 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C120,001,Buddhsm-Silk Road,Sanjyot Mehendale,07874,,14,3,3,,,,,,,,,,1,,,,,21
2014 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C132,001,Pure Land Buddhism,Mark Blum,07877,,5,1,1,3,,,,,,,,,1,,,,,11
2014 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C154,001,Death Dreams Vision,Jacob Dalton,07880,,,3,2,3,1,,1,,,,,,2,,,,,12
2014 Fall,Business,UGBA,Business Admin-Undergrad,C5,001,Intro To Entrep,Ajay Bam,08003,,2,6,9,3,2,1,4,,,,,,8,,,,,35
2014 Fall,Business,UGBA,Business Admin-Undergrad,10,001,Principles Of Bus,Cristina Banks; John Briginshaw; Judy Hopelain; Omar Romero-Hernandez,08006,23,83,121,103,79,32,18,17,5,4,1,,3,18,,6,,,513
2014 Fall,Business,UGBA,Business Admin-Undergrad,39AC,001,Philanthropy,Colin Lacon,08059,,5,13,6,2,,,,,,,,,3,,,,,29
2014 Fall,Business,UGBA,Business Admin-Undergrad,100,001,Business Comm,Daniel Himelstein,08114,,2,21,8,2,,,,,,,,,,,,,,33
2014 Fall,Business,UGBA,Business Admin-Undergrad,100,002,Business Comm,Evan Elliot,08117,,1,19,8,,,,,,,,,,,,,,,28
2014 Fall,Business,UGBA,Business Admin-Undergrad,100,003,Business Comm,Krystal Thomas,08120,2,3,10,8,3,,,,,,,,,,,,,,26
2014 Fall,Business,UGBA,Business Admin-Undergrad,100,004,Business Comm,Arturo Perez-Reyes,08123,,,1,4,12,6,1,,,,,,,,,,,,24
2014 Fall,Business,UGBA,Business Admin-Undergrad,100,005,Business Comm,Arturo Perez-Reyes,08126,,,,6,15,2,,,,,,,,,,,,,23
2014 Fall,Business,UGBA,Business Admin-Undergrad,100,006,Business Comm,Krystal Thomas,08129,,3,11,11,5,1,,,,,,,,,,,,,31
2014 Fall,Business,UGBA,Business Admin-Undergrad,101A,001,Microeconomic Analy,Aaron Bodoh-Creed,08132,4,14,11,8,11,2,,,3,,,,,5,,1,,,59
