Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 3/16/2015,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2015 Spring,Classics,LATIN,Latin,100,001,Republican Prose,Christopher Adams; Kathleen Mccarthy,15630,1,4,4,1,1,,,,1,,,,,,,,,,12
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,1,001,Grammar/Vocabulary,Michelle Baptiste,16403,,,,,,,,,,,,,,14,2,,,,16
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,1,002,Grammar/Vocabulary,Michelle Baptiste,16406,,,,,,,,,,,,,,10,1,,,,11
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,1,003,Grammar/Vocabulary,Nancy Hunt,16409,,,,,,,,,,,,,,13,2,,,,15
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,002,College Writing 1a,Jordan Ruyle,16418,,2,4,4,1,,,1,,,1,,1,,,,,,14
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,003,College Writing 1a,Elizabeth Williams,16421,,1,1,3,7,,,,,2,,,,,,,,,14
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,004,College Writing 1a,Daniel Husman,16424,,,3,3,6,1,,,,,,,,,,,,,13
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,007,College Writing 1a,Chisako Cole,16433,,3,4,,,2,,1,1,,,,,,,,,,11
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,008,College Writing 1a,Jonathan Lang,16436,,,1,3,1,1,2,,,3,,,,,,,,,11
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,009,College Writing 1a,Benjamin Spanbock,16439,,,3,3,2,1,,,1,,,,,,,,,,10
