UC Berkeley Spring 2009 Course Grades,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
CHEM,C150,001,INTR MATERIALS CHEM,"LONG, J R         ",1,5,1,3,1,0,0,0,0,0,1,0,0
CHEM,C182,001,ATMOS CHEM PHYS LAB,"BOERING, K A      ",0,7,3,1,6,1,0,1,0,0,0,0,0
CHICANO, 020,001,INTRO CHICANO CULT ,"DAVILA-SANCHEZ, A ",0,5,19,3,0,0,0,0,0,0,0,0,0
CHICANO, 070,001,LATINO POLITICS    ,"MONTEJANO, D      ",3,5,1,1,3,0,0,2,1,0,0,0,0
CHICANO, 135B,001,CONTEMP LATINO FILM,"TELLES, R         ",1,30,8,3,0,0,0,1,0,0,0,0,0
CHICANO, 135C,001,LATINO DOC FILM    ,"TELLES, R         ",1,5,9,6,0,0,0,0,0,0,0,0,1
CHICANO, 159,001,MEXICAN IMMIGRATION,"SARAGOZA, A M     ",1,9,10,7,10,4,1,1,0,0,0,0,2
CHICANO, 165,001,"CUBA, US, & CUBA AM","GROSFOGUEL, R     ",8,9,3,2,1,0,0,0,0,0,0,0,0
CHICANO, 172,001,CHICANO & EDUC SYST,"GUERRERO, B       ",0,3,17,6,2,0,0,0,0,0,0,0,0
CHICANO, 174,001,"CHIC, LAW, CRIM JST","GONZALEZ, M T     ",0,8,7,0,6,3,0,2,0,0,0,0,1
CHICANO, 180,001,TOPICS IN CHIC STUD,"RODRIGUEZ, C H    ",1,3,4,2,2,0,1,0,0,0,1,0,1
CHICANO, 180,003,TOPICS IN CHIC STUD,"SARAGOZA, A M     ",1,5,6,5,4,1,0,1,0,0,0,0,2
CHINESE, 001B,001,ELEMENTARY CHINESE ,"YANG, Y           ",0,6,3,1,1,1,1,0,0,0,0,0,0
CHINESE, 001B,002,ELEMENTARY CHINESE ,"YANG, Y           ",1,7,6,0,3,0,0,0,0,0,0,0,0
CHINESE, 001B,003,ELEMENTARY CHINESE ,"YANG, Y           ",0,8,7,2,2,0,0,0,0,0,0,0,0
CHINESE, 001B,004,ELEMENTARY CHINESE ,"YANG, Y           ",0,8,7,0,2,0,1,0,0,0,0,0,0
CHINESE, 001B,005,ELEMENTARY CHINESE ,"YANG, Y           ",0,4,4,4,0,1,1,0,0,0,0,0,0
CHINESE, 001BX,001,ELEM CHINESE MANDAR,"LIU, L            ",0,9,6,1,0,1,0,0,0,0,0,0,0
CHINESE, 001BX,002,ELEM CHINESE MANDAR,"LIU, L            ",0,8,6,1,1,0,0,0,1,0,0,0,0
CHINESE, 001BX,003,ELEM CHINESE MANDAR,"LIU, L            ",0,11,4,3,1,0,0,0,0,0,0,0,0
