Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
COLWRIT,9W,27460,001,Esp Speech Debate,Brandon Spars; Margi Wald,under,6,4,4,1,0,0,0,0,0,0,0,0,2,2,0
HISTORY,N109C,52545,001,Mid East 1750-Pres,Daniel Strieff,under,0,15,2,0,1,0,0,0,0,0,0,0,1,2,0
UGBA,127,19345,002,Spec Topics In Acct,Satyaraj Berde,under,2,8,10,5,2,0,0,0,0,0,0,0,1,2,0
SOCIOL,113AC,83335,001,Education,Jason Scott; Michael Burawoy,under,1,15,9,2,1,0,0,0,0,0,0,0,0,5,0
IAS,196,55645,002,Special Research,Alan Karras,under,2,4,6,5,5,4,3,1,1,0,0,0,0,26,1
COLWRIT,6G,27050,002,Esl Digital Writing,Margi Wald; Michelle Baptiste,under,4,7,0,0,0,0,0,0,0,0,0,0,1,4,0
INTEGBI,131L,54240,004,Human Anatomy Lab,Thomas Carlson; Whitney Reiner,under,0,2,1,6,3,1,2,1,0,0,0,0,0,0,0
ART,180,14070,002,Advanced Digital Ph,Andrew Voogel,under,0,4,4,2,0,0,0,0,0,0,0,0,0,1,0
UGBA,106,19240,001,Marketing,Meir Karlinsky,under,0,10,12,2,9,5,3,6,0,0,0,0,4,5,0
INTEGBI,116L,54170,001,Medical Parasit,John Sullivan; Judith Sakanari,under,0,11,4,6,6,3,2,5,0,0,0,0,0,2,0
POL SCI,129B,77910,001,Russia After Commun,Michael Fish,under,4,9,12,8,4,7,4,2,0,0,1,0,0,1,0
UGBA,131,19355,001,Corp Fin Analysis,Avinash Verma,under,5,10,15,14,9,4,0,0,1,0,0,0,3,2,0
SOCIOL,190,83380,001,Sem & Res In So,Dylan Riley,under,0,2,3,0,1,1,1,2,0,0,0,1,1,0,0
MEC ENG,W85,42618,001,Intro Solid Mechncs,Sanjay Govindjee,under,1,6,4,1,4,2,4,4,2,0,1,0,3,0,1
COLWRIT,9I,27305,001,Esp Conflict Res,Margi Wald; Melody Noll,under,0,2,2,4,1,5,1,1,1,0,0,0,0,1,0
PHYS ED,32,73615,001,Fitness: Phs Ada/Ex,Sue Johannessen,under,0,8,2,0,3,0,0,3,0,0,0,0,2,9,0
POL SCI,123B,77610,001,Topics Intntl Rel,Andrew Bertoli; Eric Schickler,under,2,13,11,9,3,5,0,2,0,0,0,0,2,0,0
THEATER,5,87815,003,Public Speaking,Samuel Haley-Hill,under,0,13,2,0,0,0,1,0,0,0,0,0,0,3,0
POL SCI,150,77675,001,Amer Legal System,Sean Farhang,under,9,26,15,9,5,2,1,1,0,0,0,0,0,0,0
FILM,R1B,48205,001,Writing-Film Focus,Jeffrey Skoller; Katherine Guerra,under,0,4,13,5,7,3,0,0,1,0,0,0,0,0,0
MUSIC,N142,67823,001,Univ Wind Ensemble,Robert Calonico,under,0,8,2,1,0,0,0,0,3,0,0,0,0,0,0
HISTORY,127AC,52570,001,California,Joseph Duong,under,1,5,4,7,1,0,0,0,0,0,0,0,1,7,0
VIS STD,187A,88320,001,Freehand Drawing,Kate Hawkinson,under,2,12,5,2,0,0,0,0,0,0,0,0,0,0,0
ENV DES,11A,45160,001,Intro Vis Rep Draw,Darell Fields,under,0,1,2,0,3,1,3,0,1,0,0,0,0,0,0
UGBA,102A,19150,003,Intro Fin Account,James Webb,under,0,14,7,7,6,1,3,1,1,0,1,1,1,2,1
CHINESE,105,25635,001,Business Chinese,I-Hao Li,under,0,10,7,1,0,0,0,0,0,0,0,0,0,0,0
CRWRIT,120,29805,001,Read & Write Poetry,Claire Marie Stancek,under,0,8,2,0,0,0,0,0,0,0,0,0,1,1,0
CHICANO,159,25330,001,Mexican Immigration,Alex Saragoza,under,0,7,5,3,1,1,0,0,0,0,0,0,0,2,0
PHYSICS,8A,74020,001,Intro Physics,William Golightly,under,9,11,8,13,17,11,9,11,11,2,1,1,1,4,1
SPANISH,102A,85265,001,Adv Gram And Comp,Estelle Tarica; Silvia Lopez,under,1,2,2,5,1,0,0,0,0,0,0,0,0,0,1
UGBA,133,19375,001,Investments,Samuel Olesky,under,0,12,14,14,13,2,1,2,0,0,0,0,0,4,1
MATH,128A,63960,002,Numerical Analysis,Fei Lu; Mark Haiman,under,2,8,3,13,9,8,0,1,0,0,1,0,0,1,0
ECON,136,32529,001,Financial Economics,Sandhyarani Patlolla,under,1,15,8,6,4,4,1,0,1,0,1,1,2,1,1
UGBA,196,19480,001,Spec Topics Bus Adm,Ryan Sloan,under,0,9,8,2,0,0,0,0,0,0,0,0,0,0,0
PSYCH,N122,78885,001,Intro Human Learn,Michael Vendetti,under,17,9,3,1,6,0,1,3,1,1,3,1,3,9,6
COLWRIT,9C,27235,001,Acad Writ-Multiling,Candace Khanna; Margi Wald,under,0,1,3,1,1,2,1,0,3,0,2,0,0,0,1
ENV DES,100,45203,001,The City,Pietro Calogero,under,4,8,2,1,2,2,0,0,0,0,0,0,0,2,0
FILM,108,48255,002,Film Genre,Jeffrey Skoller; Justin Vaccaro,under,1,5,2,2,0,2,3,2,0,0,0,0,0,5,1
ISF,W187,55235,006,Exprientl Lm Org Ct,Joel Clark,under,1,19,4,0,0,0,0,0,0,0,0,0,1,17,1
COLWRIT,8,27200,010,Engl As Second Lang,David Frasca; Margi Wald,under,0,2,3,2,5,0,2,0,1,0,0,0,0,1,0
ART,160,14065,001,Spec Topics Vis Std,Sahar Khoury,under,0,7,0,0,0,0,0,1,0,0,0,0,0,0,2
