Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
MEC ENG,132,14452,001,Dyn System/Feedback,George Anwar,under,3,5,11,5,6,0,2,2,0,0,3,0,0,2,0
MEC ENG,40,14443,001,Thermodynamics,Van Carey; Alanna Cooney,under,2,7,4,4,4,4,1,1,0,0,0,0,1,0,0
MEDIAST,10,15283,001,Intro To Mediast,Josh Jackson,under,0,38,18,9,14,7,3,6,3,1,0,1,0,1,3
MUSIC,139,13213,001,World Topics,David Milnes; Jonathan Wu,under,2,8,0,0,0,1,0,0,0,0,1,0,0,2,0
MUSIC,139,14225,002,World Topics,David Milnes; Jonathan Wu,under,2,6,3,2,1,0,0,0,0,0,0,0,0,0,0
MUSIC,148,15515,001,African Mus Perf,Cornelius Ladzekpo,under,9,47,0,0,0,0,0,0,0,0,0,0,1,1,0
MUSIC,158A,13375,001,Music And Computing,Jonathan Kulpa,under,7,11,2,0,1,0,0,0,0,0,0,0,3,3,0
MUSIC,158A,14088,002,Music And Computing,Jonathan Kulpa,under,6,6,4,1,0,0,0,0,0,0,0,0,0,0,1
MUSIC,25,14141,001,Music Theory,David Milnes; Curtis Dahn,under,6,2,0,0,0,0,0,1,0,0,1,0,0,2,1
MUSIC,25,14413,002,Music Theory,Robert Yamasato,under,1,7,3,0,0,1,0,0,1,0,0,0,1,3,0
MUSIC,26AC,15896,001,American Culture,Carla Brunet,under,52,54,12,5,7,2,1,1,0,1,0,0,3,26,1
MUSIC,29,13372,001,Music Now,Nils Bultmann,under,1,5,1,0,0,0,0,0,0,0,0,0,0,4,0
MUSIC,44,14082,001,Voice Class,Nikolas Nackley,under,8,10,0,0,0,0,0,0,0,0,0,0,0,4,0
MUSIC,44,14083,002,Voice Class,Nikolas Nackley,under,9,12,0,0,0,0,0,0,0,0,0,0,0,2,0
MUSIC,45,13392,001,Beginning Piano 1,Jacqueline Chew,under,2,7,0,0,0,0,0,0,0,0,0,0,0,3,0
MUSIC,46,13197,001,Guitar Performance,David Milnes; Hwa-Chan Yu,under,11,0,3,0,0,0,0,0,0,0,0,0,0,1,0
MUSIC,46,14101,002,Guitar Performance,David Milnes; Hwa-Chan Yu,under,13,2,0,2,0,0,0,0,0,0,0,0,0,3,0
NUSCTX,10,12971,001,Intro Human Nutr,Ashley Reaver,under,1,2,3,0,1,0,1,4,1,0,0,0,0,2,1
NUSCTX,10,13055,002,Intro Human Nutr,Marta Vuckovic,under,2,5,0,1,2,0,0,1,0,0,1,0,1,8,0
NUSCTX,105,15490,001,Mediterranean Nutri,Kristen Rasmussen,under,1,15,1,2,0,0,0,0,0,0,0,0,0,0,0
NUSCTX,W104,13040,001,Food Culture Env,Kristen Rasmussen,under,0,45,9,7,9,3,1,4,1,0,0,0,5,16,4
PB HLTH,118,14691,001,Nutr Developng Ctry,Sarah Zyba,under,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0
PB HLTH,142,14716,001,Intro Prob Stat,Mi-Suk Kang Dufour; Defne Yilmaz; Alma Juarez Armenta; Parishkrita Srivastava; Sylvia Cheng; Iris Yen; Tian Qiu; Nolan Gunter,under,25,23,15,9,3,4,4,0,2,0,0,0,0,0,0
PB HLTH,150D,14692,001,Intro Hlth Pol Mgt,Robin Flagg; Sakara Bakenra,under,1,17,7,3,5,1,0,0,0,0,0,1,0,1,0
PB HLTH,155B,14733,001,Womens Health,Anke Hemmerling; Mara Decker,under,7,9,2,0,0,0,0,0,0,0,0,0,0,1,0
PB HLTH,162A,14714,001,Pub Hlth Microbiol,Fenyong Liu; Eduardo Lujan,under,8,12,7,4,6,3,2,2,2,0,2,0,0,2,0
PB HLTH,177,14713,001,Gis Public Health,Charlotte Smith,under,3,30,3,0,2,0,0,0,0,0,0,0,1,1,0
PB HLTH,N112,14695,001,Global Health N,Arthur Reingold; Audrie Lin; Sai Ramya Maddali; Ifunanya Dibiaezue; Mikail Aliyu; Ashley Mitchell,under,29,21,4,0,0,0,0,0,0,1,0,0,0,2,0
PB HLTH,N150B,14705,001,Human Hlth & Envir,Jay Graham; Maria Alvarez Pineda,under,0,29,0,5,1,0,0,0,0,0,0,0,0,0,0
PHILOS,115,15355,001,Political Philos,Florian Grosser,under,0,4,7,3,3,4,0,0,0,0,0,0,0,1,0
PHILOS,117AC,13247,001,Phil Race Ethnicity,Timothy Crockett,under,1,2,3,1,1,0,0,0,0,0,0,0,2,2,0
PHILOS,12A,13174,001,Intro To Logic,Nicholas Kolodny; Edward Schwartz,under,1,3,0,1,1,0,0,0,0,0,0,0,2,1,2
PHILOS,12A,14151,002,Intro To Logic,Nicholas Kolodny; Erica Klempner,under,3,4,0,2,3,1,0,0,0,0,0,0,1,1,0
PHILOS,132,14050,001,Philosophy Of Mind,James Blackmon,under,5,1,2,3,4,0,0,0,1,0,1,0,2,1,0
PHILOS,160,15405,001,Plato,Vanessa de Harven,under,0,9,4,4,2,2,0,0,0,0,0,0,1,2,0
PHILOS,2,15407,003,Ind Moral/Soc Just,Richard Kim,under,0,12,5,7,2,1,0,0,0,0,0,0,0,8,0
PHILOS,25B,14048,002,Modern Philosophy,Melanie Tate,under,1,5,2,1,1,0,0,0,1,0,0,0,1,1,0
PHILOS,25B,13179,001,Modern Philosophy,Timothy Crockett,under,0,4,3,7,3,1,0,0,0,0,0,0,2,1,0
PHILOS,3,15353,002,Nature Of Mind,Yael Benjamin,under,1,5,4,1,0,0,0,0,0,0,0,0,0,1,0
PHILOS,3,13172,001,Nature Of Mind,Klaus Strelau,under,0,6,6,1,0,0,0,0,0,0,0,0,1,2,0
PHILOS,N188,14324,001,Phenomenology,Florian Grosser,under,0,3,4,7,1,0,0,0,0,0,0,0,0,1,0
PHILOS,W12A,13693,001,Intro To Logic Wbl,Wesley Holliday,under,5,16,6,3,0,3,1,1,1,0,0,0,1,29,0
PHYSICS,105,13828,001,Analytic Mechanics,Chien-I Chiang,under,2,6,5,6,7,2,5,1,0,0,0,0,1,0,0
PHYSICS,137A,13627,001,Quantum Mechanics,Chien-I Chiang,under,0,14,5,8,9,7,4,4,1,0,0,0,1,1,0
PHYSICS,77,13394,001,Intro Comp Tech Phy,Amin Jazaeri,under,1,9,5,1,4,0,1,3,0,0,0,0,5,0,1
PHYSICS,7A,13572,001,Scient Engin Phys,William Golightly,under,3,6,2,3,7,3,2,2,3,0,2,0,0,1,1
PHYSICS,7B,13579,001,Scient Engin Phys,Ronnie Spitzer,under,2,8,8,7,9,8,7,8,1,0,0,0,0,2,0
PHYSICS,8A,13591,001,Intro Physics,William Golightly,under,3,17,8,13,12,12,10,2,5,1,6,1,7,0,1
PHYSICS,8B,13610,001,Intro Physics,Terrence Buehler,under,5,7,9,8,13,8,4,4,8,0,2,0,0,0,1
PHYSICS,W89,13419,001,Intro To Math Phys,Austin Hedeman,under,6,6,6,3,2,3,4,3,0,0,3,0,6,3,0
POL SCI,1,14116,001,Intro American Pol,Thomas Kent; Susan Hyde; Russell Weber,under,0,5,2,4,2,1,1,0,0,1,0,0,0,4,2
POL SCI,109B,15517,001,Topics In Amer Pol,Thomas Kent; David Broockman; Tak Huen Chau; Matthew Easton,under,0,67,23,18,9,8,0,2,3,0,3,2,2,2,1
