Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
MUSIC,150E,60639,001,Jazz Performance,Cecilia Engelhart; Frank Martin; Glenn Richman; Jeff Massanari; Kai Eckhardt; Kenneth Berman; Myra Melford; Scott Amendola; Sheldon Brown,under,0,10,2,0,0,1,0,0,0,0,0,0,0,0,0
GEOG,C136,36308,001,Terrestrial Hydrolo,Laurel Larsen,under,4,3,1,1,2,1,0,0,5,0,0,0,0,0,2
CHEM,120A,11625,001,Physical Chemistry,David Chandler; Eran Rabani; Matthew Koc; Nicholas Lewis; Qinghui Ge; Samia Hamed,under,4,16,7,18,24,20,20,16,13,0,0,0,6,0,0
CHICANO,R1A,13303,001,Reading & Comp,Alejandro Garcia; Alex Saragoza,under,0,2,10,5,1,0,0,0,0,0,0,0,0,0,0
ESPM,72,28926,001,Gis,Van Butsic,under,0,10,6,4,0,2,0,1,0,0,0,0,0,4,0
S ASIAN,R5B,84021,004,India Writers Eye,Lauren Bausch; Robert Goldman,under,1,3,8,1,1,1,0,0,0,0,0,0,0,0,1
ENGLISH,180A,28133,001,Autobiography,Georgina Kleege,under,0,11,8,19,2,0,0,0,0,0,0,0,0,3,0
ENGIN,177,27523,001,Adv Progrmmng Mtlab,Michael Frenklach,under,7,22,17,15,15,7,12,3,3,1,2,1,0,1,0
GEOG,130,36269,001,Food Environment,Nathan Sayre,under,11,18,36,17,21,17,14,6,6,3,1,1,3,26,5
SPANISH,100,86229,001,Spanish Linguistics,Teresa Mcfarland,under,0,10,4,5,0,2,0,0,1,1,0,0,1,0,0
CHINESE,101,20723,001,4th Year Read:Lit,I-Hao Li,under,0,5,8,1,1,0,0,0,0,0,0,0,0,0,1
IND ENG,171,41045,001,Tech Firm Leadrship,Ronald Lesniak,under,15,32,9,0,0,0,0,1,0,0,0,0,0,1,0
ECON,241A,23095,001,Econometrics,Bryan Graham; Demian Pouzo,grad,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0
CRIT TH,290,18109,001,Crit Th Elective,Judith Butler,grad,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
EWMBA,200C,09610,02B,Communications,Mark Rittenberg,grad,0,10,15,20,12,2,0,0,0,0,0,0,0,0,0
SOC WEL,250B,80907,001,Family Therapy,James Bachman,grad,0,22,2,0,0,0,0,0,0,0,0,0,0,2,0
COMPBIO,299,16903,001,Compbio Research,Andreas Stahl,grad,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0
SOC WEL,230,80880,001,Soc Policy: C & F,Jill Berrick,grad,0,9,10,7,3,2,0,0,0,0,0,0,0,3,0
JOURN,298,48213,018,Group Study,Thomas Miller,grad,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0
DATASCI,W205,42030,002,Stor/Retriev Dat,Raymond Milowski,grad,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PB HLTH,296,76295,003,Special Study,Alan Hubbard; Mark Van Der Laan,grad,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0
SCANDIN,250,78874,001,Seminar Scandin Lit,Karin Sanders,grad,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0
EDUC,290A,24169,004,Sp Topic Sem: Pome,Tina Trujillo,grad,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
SOC WEL,282B,80949,007,Sem In Soc Welf Res,John Shields,grad,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0
NWMEDIA,C265,63927,001,Interface Aesthetic,Kimiko Ryokai,grad,0,3,0,1,0,0,0,0,0,0,0,0,0,5,0
EDUC,223B,24055,012,Mth/Sci/Tch Ed Prob,Dor Abrahamson,grad,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
PLANTBI,220F,70879,001,Micro Ecology,Steven Lindow,grad,1,7,6,1,2,0,0,0,0,0,0,0,0,0,0
PB HLTH,223F,76051,001,Ph Negotiations,Jeffrey Oxendine,grad,4,12,5,0,0,0,0,0,0,0,0,0,0,0,0
DEVP,227,18608,001,Naturalresmgmt,Vincent Resh,grad,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0
NUC ENG,C285,64093,001,Nuclear Security,Stanley Prussin,grad,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0
MCELLBI,290,59786,C01,Graduate Seminar,Dirk Hockemeyer; Fyodor Urnov,grad,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0
