Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
BIOLOGY,1AL,20985,001,General Biology Lab,Michael Meighan; Erol Kepkep; William Sha,under,3,207,100,86,31,13,3,6,0,0,0,0,2,5,0
BIOLOGY,1B,20986,001,General Biology,Brett Boltz; Joshua Povich; Cindy Looy; Charles Marshall; Caroline Williams,under,23,84,113,110,78,54,55,33,25,15,16,0,8,13,9
BUDDSTD,C130,33008,001,Zen Buddhism,Marta Sanvido,under,4,3,0,2,0,1,0,0,0,1,0,0,0,4,0
BUDDSTD,C132,31429,001,Pure Land Buddhism,Mark Blum,under,2,4,2,2,0,0,0,0,0,0,0,0,0,0,2
BUDDSTD,C50,20927,001,Intro To Buddhism,Jacob Dalton,under,2,15,12,11,5,1,1,0,0,0,1,0,0,14,4
CATALAN,101,23749,001,Adv Catalan,Ana Belen Redondo Campillos,under,3,3,1,1,1,0,0,0,0,1,1,0,0,2,0
CELTIC,168,23199,001,Celtic Mythology,Myriah Williams,under,0,1,8,3,2,2,3,1,0,0,1,0,1,8,3
CELTIC,70,21004,001,World Of The Celts,Myriah Williams,under,4,0,12,3,2,0,2,1,1,0,0,0,0,7,0
CELTIC,R1B,21006,001,Voices/Celtic World,Zachary Johnson,under,1,8,4,2,1,0,0,0,0,0,0,0,1,1,1
CELTIC,R1B,21007,002,Voices/Celtic World,Matthew Shelton,under,0,8,0,4,0,1,0,2,0,0,0,0,0,0,0
CHEM,102,33029,001,Foundations Of Disc,Katie Blackford,under,0,23,0,0,0,1,1,0,0,0,0,0,0,4,0
CHEM,103,20217,001,Inorg Chem Bio,Michelle Chang; Luke Elissiry; Aila Rothweiler,under,2,26,7,10,24,6,2,0,0,0,0,0,0,1,0
CHEM,104A,20244,001,Adv Inorganic Chem,Jonathan Rittle; Nicholas Ciolkowski; Paul Rathke,under,5,13,12,11,16,16,6,4,3,0,5,0,2,2,0
CHEM,105,20351,001,Instrumen Analysis,Evan Williams,under,2,6,0,3,5,2,1,3,0,0,2,0,0,0,0
CHEM,113,30253,001,Adv Mech Organ Chem,Lucas Goettemann; Richmond Sarpong; Suh Hyun Kang,under,3,8,7,1,0,1,0,0,0,0,0,0,0,7,0
CHEM,115,20359,001,Organic Chemistry,Katie Blackford,under,1,5,4,2,0,0,0,0,0,0,0,0,0,0,0
CHEM,120A,20223,001,Physical Chemistry,K Whaley; Richard Kang; Wendy Billings; Joseph Cavanagh,under,8,8,9,21,13,4,2,4,4,0,1,0,1,1,1
CHEM,120B,20219,001,Physical Chemistry,Daniel Neumark; Zhenling Wang; Chung Taing; Vivian Wall; Henry Phan,under,4,14,8,9,31,6,5,11,4,0,2,0,1,0,0
CHEM,122,33028,001,Quantum Mechanics,Eran Rabani; Bokang Hou,under,5,1,3,1,0,1,0,1,0,0,0,0,0,1,0
CHEM,125,20213,001,Phys Chem Lab,Stephen Leone,under,3,7,6,9,9,5,1,3,0,0,0,0,0,0,0
CHEM,12A,20312,001,Organic Chemistry,Anne Baranger,under,8,46,33,15,22,16,11,22,10,0,5,6,2,1,2
CHEM,135,20220,001,Chemical Biology,Daniel Nomura; Amos Nissley; Jonathan Giudice; Lauren Orr,under,148,19,0,0,1,0,0,0,0,0,0,0,1,1,0
CHEM,1A,20123,001,General Chemistry,Kristie Boering; Eric Neuscamman; Harrison Tuckman; Christina Brancel,under,12,118,128,69,83,68,56,40,44,0,46,0,33,17,6
CHEM,1A,20124,002,General Chemistry,Kristie Boering; Eric Neuscamman; Harrison Tuckman; Christina Brancel,under,12,155,159,57,78,47,36,42,46,0,44,0,17,14,17
CHEM,1AL,20169,001,General Chem Lab,Michelle Douskey; Katerina Graf,under,51,224,48,29,36,13,5,10,5,0,0,0,7,5,1
CHEM,1AL,20307,002,General Chem Lab,Michelle Douskey; Katerina Graf,under,38,147,44,28,26,7,10,3,1,0,0,0,7,2,4
CHEM,1AL,20308,003,General Chem Lab,Michelle Douskey; Katerina Graf,under,36,152,45,18,38,15,3,7,4,0,0,0,5,2,2
CHEM,32,20338,001,Prep For Gen Chem,Alexis Shusterman,under,0,0,0,0,0,0,0,0,0,0,0,0,0,67,4
CHEM,32,20339,002,Prep For Gen Chem,Alexis Shusterman,under,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6
CHEM,3A,20221,001,Chem Struct React,Maryann Robak; Kieren Harkins,under,19,52,40,29,35,12,20,13,9,0,6,0,4,3,3
CHEM,3A,20222,002,Chem Struct React,Maryann Robak; Kieren Harkins,under,29,92,70,51,50,39,35,31,18,0,5,0,7,5,8
CHEM,3AL,20238,001,Organic Chem Lab,Debjani Roy,under,45,148,73,27,24,8,0,15,0,0,0,0,3,1,0
CHEM,3AL,20239,002,Organic Chem Lab,Debjani Roy,under,42,100,61,15,19,3,1,15,0,0,0,0,1,0,1
CHEM,3B,20180,001,Chem Struct React,Peter Marsden,under,72,89,21,23,18,9,5,7,3,0,0,0,9,2,4
CHEM,3B,20181,002,Chem Struct React,Peter Marsden,under,52,62,24,25,15,14,10,10,10,0,0,0,16,4,2
CHEM,3BL,20194,001,Organic Chem Lab,Alexis Shusterman,under,0,94,84,28,16,9,4,2,2,0,0,0,0,3,0
CHEM,3BL,20195,002,Organic Chem Lab,Alexis Shusterman,under,0,75,71,25,17,9,5,1,0,0,0,0,0,0,0
CHEM,4A,20210,001,Gen Chm Quant Analy,Ke Xu; Michael Werner Zuerch; Elizabeth Lineberry,under,6,17,24,31,42,24,11,11,8,0,4,0,3,4,0
CHEM,96,20248,001,Intro To Research,Naomi Ginsberg; Christian Tanner,under,0,0,0,0,0,0,0,0,0,0,0,0,0,108,2
CHEM,C110L,20249,001,Biochem & Molbi,David Drubin; Isabelle Le Blanc,under,0,5,0,4,0,0,0,1,1,0,0,0,0,0,0
CHEM,C130,20224,001,Biophysical Chem,John Kuriyan,under,3,3,1,7,5,3,0,1,1,0,1,0,0,0,0
CHEM,C150,20396,001,Intr Materials Chem,Daniel Bediako,under,1,3,2,2,2,1,2,0,0,0,0,0,0,0,0
CHEM,H194,11497,003,Honors Research,Maura Daly; John Arnold; Maritsi Perez,under,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICANO,130,21013,001,Mex Chic Art Hist,Jesus Barraza,under,23,3,0,1,0,0,0,0,0,0,0,0,0,3,0
CHICANO,132,33749,001,Day Of The Dead,Jesus Barraza,under,28,5,1,0,1,0,0,0,0,0,0,0,0,0,0
CHICANO,135B,23513,001,Contemp Latino Film,Raymond Telles; Peter Kim,under,3,35,32,7,7,1,0,0,1,0,0,0,0,4,1
CHICANO,159,21011,001,Mexican Immigration,Pablo Gonzalez,under,5,31,9,1,7,0,0,0,0,0,0,0,0,0,0
CHICANO,161,23504,001,Central Amer People,Enrique Lima,under,0,13,6,1,1,0,0,0,0,0,0,0,0,0,0
CHICANO,175,32341,001,Latinx And The Env,Federico Castillo,under,4,19,7,2,4,0,0,0,1,0,0,0,0,0,0
CHICANO,190,25962,001,Adv Sem Chx/Lx Std,Juan Berumen,under,0,2,6,4,2,2,2,1,1,0,1,0,1,1,0
CHICANO,197,17376,001,Field Study,Laura Jimenez-Olvera; Pablo Gonzalez,under,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
CHICANO,198,21052,008,Directed Group Stdy,Maria Gallegos-Diaz; Laura Jimenez-Olvera; Juan Berumen,under,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1
CHICANO,39,33748,001,Fresh/Soph Seminar,Christian Paiz,under,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CHICANO,40,31211,001,Intro Chicano Lit,Juan Berumen,under,0,1,13,8,9,6,0,1,0,0,0,0,0,2,0
CHICANO,50,23496,001,Intro Chicano Hist,Pablo Gonzalez,under,21,77,5,5,4,0,0,0,0,0,0,0,0,7,0
CHICANO,R1A,21041,001,Reading & Comp,Juan Berumen,under,1,1,5,3,5,1,1,0,0,0,0,2,1,1,0
