Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
UGBA,120A,08437,002,Int Financial Acct,Francis Stanton,under,5,22,11,0,7,1,0,0,0,0,0,0,2,5,1
INTEGBI,115,42141,001,Systems Biology,Han Lim,under,0,9,9,13,4,3,1,0,0,1,0,0,1,2,0
FRENCH,1,32224,008,Elementary French,Amanda Leonard; Seda Chavdarian,under,0,6,3,2,1,1,0,0,0,0,0,0,0,3,1
SOC WEL,110,80748,001,Soc Wk As A Prof,Susan Stone,under,0,41,1,2,1,0,1,1,0,0,0,0,0,0,0
GWS,130AC,32975,001,Gen Race Nat & Hlth,Laura Nelson,under,4,16,13,5,9,2,1,0,0,0,0,0,0,2,0
PHYS ED,3,68213,007,Pe Activities,Jason Britton,under,0,1,0,3,0,0,0,0,0,0,0,0,1,7,0
ANTHRO,C129F,02582,001,Archahealth Disease,Laurie Wilkie; Sabrina Agarwal,under,8,12,13,3,12,3,0,0,0,0,0,0,0,3,0
ESPM,102B,29145,001,Nat Res Sampling,Gregory Biging,under,3,6,2,8,1,0,2,1,0,0,0,0,0,3,2
EDUC,140AC,23707,001,Liter:Ind & Soc Dev,Glynda Hull,under,2,30,22,6,4,0,0,3,0,0,0,0,1,7,1
MCELLBI,163,58349,001,Neuroanatomy,David Larue; Henk Roelink,under,3,17,12,5,26,5,7,8,1,0,4,0,1,1,1
ENGLISH,C77,28021,001,Int Environ Studies,Garrison Sposito; Robert Hass,under,0,7,14,1,4,0,0,0,0,0,0,0,0,0,1
PUB POL,190,77166,010,Spec Topics Pub Pol,Stephen Maurer,under,0,12,12,7,4,1,0,0,0,0,0,0,0,6,0
FRENCH,1,32203,001,Elementary French,Olivia Yoshioka-Maxwell; Seda Chavdarian,under,0,5,3,1,1,1,1,0,1,0,0,0,0,1,0
GERMAN,1,37203,001,Elementary German 1,Nikolaus Euba; Sebastian Haselbeck,under,0,1,3,0,0,5,1,0,0,0,0,0,1,1,2
HISTORY,126B,39536,001,Amer West From 1850,Alison Weiss,under,0,5,10,7,5,3,1,2,1,1,0,0,2,7,3
CHEM,C110L,11594,001,Biochem & Molbi Lab,Andreas Martin; Isabelle Le Blanc,under,1,2,3,2,2,0,1,0,0,0,0,0,0,0,0
FRENCH,2,32251,002,Elementary French,Corine Stofle; Seda Chavdarian,under,0,3,8,1,0,0,1,0,0,0,0,0,0,1,0
GERMAN,105,37290,001,Mhg Undergrads,Elaine Tennant,under,2,4,1,2,0,0,0,1,0,0,0,0,0,3,0
ANTHRO,169B,02633,001,Res Theo/Meth Soc,Mariane Ferme,under,0,5,5,4,2,1,2,0,1,0,0,0,1,0,0
SOC WEL,98,80739,002,Directed Group Stdy,Jill Berrick,under,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1
MUSIC,51,60458,002,Musicianship,Karen Rosenak,under,2,1,3,4,1,0,0,1,1,0,0,0,0,0,0
POL SCI,166,71838,001,Latinos Us Politica,Rodney Hero,under,3,7,11,12,8,6,4,1,1,1,0,2,2,1,0
NUSCTX,108B,64641,001,App Food Sci Lab,Kristen Rasmussen,under,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0
SPANISH,2,86127,002,Elem Spanish,Ana Belen Redondo Campillos; Miriam Hernandez-Rodriguez,under,0,4,7,4,0,1,0,2,0,0,0,0,0,3,1
CHICANO,R1B,13315,001,Reading & Comp,Hilda Romero,under,0,1,10,6,1,0,0,0,0,0,0,0,0,0,0
EL ENG,141,25345,001,Intro Dig Inte Cir,Jan Rabaey,under,1,3,4,2,2,0,0,0,0,0,0,0,0,0,0
ENVECON,145,01275,001,Hlth & Env Econ Pol,Steven Buck,under,2,11,1,12,8,7,0,2,2,1,0,0,0,5,2
CIV ENG,C178,14168,001,Applied Geophysics,Douglas Dreger; James Rector,under,0,3,7,1,1,0,0,0,0,0,0,0,0,0,0
PHYS ED,1,68060,020,Pe Activities,Toni Mar,under,0,6,0,0,4,0,0,1,0,0,0,0,0,16,0
SPANISH,4,86172,005,Intermed Spanish,Jacqueline Bialostozky; Miriam Hernandez-Rodriguez,under,0,10,2,1,3,1,0,1,0,0,0,0,0,2,0
UGIS,120,89021,001,Applied Lang Study,Richard Kern,under,1,15,5,2,5,1,2,0,0,0,0,0,1,2,1
GERMAN,39H,37268,001,Freshman Seminar,Erica Weitzman,under,0,4,2,9,3,1,0,0,0,0,0,0,0,1,0
LINGUIS,106,52296,001,Metaphor,Eve Sweetser,under,0,5,7,4,2,5,2,1,1,0,0,0,2,4,0
GEOG,20,36242,001,Globalization,Lindsey Dillon; Nathan Sayre,under,2,23,16,3,5,5,0,3,0,0,0,0,1,11,0
SOCIOL,133,81815,001,Sociology Of Gender,Jill Bakehorn,under,1,10,8,6,8,6,3,1,1,0,1,0,0,0,2
UGBA,180,08521,001,Intro Real Estate,David Nelson,under,3,33,5,9,20,13,0,5,3,0,1,0,0,25,6
PORTUG,101B,86618,002,Port Adv Stdy-Wkshp,Brenno Kaneyasu Maranhao; Clelia Donovan,under,2,2,4,8,3,0,1,0,0,0,0,0,1,1,0
ENGLISH,R1A,27892,014,Reading And Comp,David Landreth; Jessica Ling,under,0,2,7,7,3,0,0,0,0,0,0,0,0,0,0
