Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AMERSTD,191,02099,004,Senior Seminar,Christine Palmer; Eva Hagberg,under,0,3,6,0,2,2,1,0,0,0,0,0,1,0,0
AFRICAM,131,00631,001,"Carib Soc, Cultures",Michel Laguerre,under,0,19,4,0,1,0,0,0,0,0,0,0,0,1,1
PB HLTH,150E,75676,001,Intro Com Health,William Satariano,under,31,63,37,12,10,6,0,1,0,0,0,0,0,1,1
JAPAN,1B,21018,006,Elementary Japanese,Christopher Gregory; Maki Takata; Michael Craig; Wakae Kambara,under,0,3,4,0,2,0,1,0,0,0,0,0,0,2,3
PERSIAN,100B,62909,001,Inter Mod Persian,Jaleh Pirnazar,under,4,9,4,0,0,0,0,0,0,0,0,0,0,2,0
ESPM,C11,28880,001,Us & Global Forest,Lynn Huntsinger,under,2,21,8,7,20,6,1,1,2,0,0,0,0,4,0
CHINESE,100B,20720,001,Advanced Chinese,I-Hsuan Chen; Lihua Zhang,under,0,5,3,1,2,0,0,1,0,0,0,0,0,4,0
EDUC,143,23734,001,Intro Teach English,Richard Sterling,under,0,18,2,1,1,0,0,0,0,0,0,0,0,0,1
HISTART,39F,04868,001,Fresh/Soph Seminar,Elizabeth Honig,under,0,2,4,2,1,2,1,0,0,0,0,0,0,2,0
ENGLISH,122,28135,001,Victorian Period,Joseph Jordan,under,1,22,20,8,1,0,0,0,0,0,0,0,0,0,0
RELIGST,C108,77624,001,Scand Myth Religion,Jonas Wellendorf,under,0,4,5,2,1,1,1,0,0,0,0,1,0,4,1
IND ENG,115,41003,001,Ind & Comm Data Sys,Kenneth Goldberg,under,2,17,23,7,5,4,0,2,1,0,0,0,0,0,0
AFRICAM,107,00608,001,Race And Pub Policy,Ronald Williams,under,0,5,3,9,3,3,0,4,2,0,0,2,1,5,3
LD ARCH,121,48515,001,Dn Detail Landconst,Linda Jewell; Raymond Freeman,under,0,4,7,0,2,2,0,0,0,0,0,0,0,0,0
SOCIOL,189,81930,001,Sel Top In Comp Per,Szonja Ivester,under,1,43,35,15,17,8,2,3,1,0,0,0,0,8,2
CHEM,3AL,11238,002,Organic Chem Lab,Peter Marsden,under,15,166,48,1,3,2,0,0,0,0,0,0,2,1,0
AFRICAM,98,00581,007,Directed Group Stdy,Nailah Suad-Bakari,under,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2
MATH,98,54112,015,Directed Group Stdy,Lauren Williams,under,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
ASAMST,143,05441,001,As Am Health,Winston Tseng,under,3,11,6,1,0,0,0,0,0,0,0,0,0,0,0
CHINESE,112,20747,001,5th-Year Chinese B,I-Hao Li,under,0,11,2,2,2,0,0,0,0,0,0,0,0,1,0
S ASIAN,R5B,84012,003,India Writers Eye,Janet Um; Robert Goldman,under,0,7,7,4,0,0,0,1,0,0,0,0,0,0,0
LD ARCH,160,48545,001,Practice Seminar,Nathan Lozier,under,0,11,3,4,0,0,0,0,0,0,0,0,0,3,0
MATH,H113,54196,001,Hnrs Intro Abst Alg,Max Glick,under,1,5,5,8,5,4,0,3,1,0,0,0,1,2,1
SOCIOL,148,81908,001,Social Policy,Cybelle Fox,under,12,12,17,8,7,7,10,2,1,2,1,7,1,2,4
SPANISH,104B,86217,001,Survey Span Am Lit,Camilo Jaramillo Castrillon; Natalia Brizuela,under,3,6,8,5,4,1,0,0,0,0,0,0,0,1,0
SOCIOL,102,81744,001,Soc Theory Ii,Cihan Tugal,under,1,33,23,43,22,15,4,3,5,0,0,0,3,0,0
ANTHRO,R5B,02548,006,Reading & Comp,Arpita Roy,under,4,4,4,1,1,0,0,1,0,0,0,0,0,0,0
COLWRIT,R4B,16520,002,"Read,Comp,Research",Catherine Oakes,under,0,2,3,7,2,0,0,0,0,0,0,0,0,0,0
EL ENG,20N,25003,001,Sys And Signals,David Tse,under,6,34,24,19,17,18,12,17,13,4,4,0,5,4,3
GPP,105,38321,003,Global Practice,Khalid Kadir,under,2,1,7,3,4,3,0,0,0,0,0,0,2,0,0
MUSIC,139,60578,001,World Topics,Carla Brunet,under,2,28,15,2,5,1,0,0,0,0,0,0,1,20,1
PORTUG,101A,86606,001,Portug For Adv Stdy,Clelia Donovan; Sebastiao Macedo,under,0,2,3,1,2,2,1,0,0,0,0,0,1,5,0
BIO ENG,110,06554,001,Biomed Phys For Eng,Sanjay Kumar,under,2,40,6,16,24,15,0,0,0,0,0,0,0,2,0
FRENCH,4,32296,001,Adv Int French,Desiree Pries; Jonathon Repinecz,under,0,2,4,1,0,0,0,2,0,0,0,0,0,3,0
L & S,C30V,51824,001,Environ Issues,Whendee Silver,under,0,12,4,7,5,1,1,1,0,0,0,0,2,3,2
MEDIAST,C103,56739,001,Understand Journ,Thomas Goldstein,under,0,20,62,81,22,15,4,4,1,0,0,0,1,1,0
ART,98,04354,006,Directed Group Stdy,Hertha Wong,under,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
AFRICAM,109,00610,001,Black/Male Am Life,John Patton,under,5,8,5,2,4,5,4,2,0,0,0,0,0,1,0
FILM,151,31714,001,Auteur Theory,Marilyn Fabe,under,0,8,8,8,9,1,0,2,0,0,0,0,0,5,0
MEC ENG,24,55303,001,Freshman Seminars,Benson Tongue,under,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
ENGLISH,R1B,27895,004,Reading And Comp,David Landreth; Sookyoung Lee,under,1,3,2,3,2,2,0,0,0,0,0,0,0,0,0
EL ENG,192,25347,001,Mechtron Design Lab,Igor Paprotny,under,1,4,2,0,1,2,1,0,0,0,0,0,0,1,0
ESPM,C183,29537,001,Forest Ecosyst Mgmt,Matthew Potts,under,0,7,2,1,0,0,1,0,0,0,0,0,0,0,0
SOCIOL,190,81942,003,Sem & Res In Sociol,Jennifer Carlson; Laura Enriquez,under,1,12,6,2,0,1,0,0,0,0,0,0,0,0,0
SPANISH,22,86172,001,Interm Sp Bilingual,Flor Lopez Malagamba; Miriam Hernandez-Rodriguez,under,1,2,4,3,2,1,1,0,1,0,0,0,0,2,0
PHYS ED,11,68267,019,Pe Activities,M. Scott; Peter Wright,under,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0
ENGIN,7,27603,001,Intr Computer Prog,Sanjay Govindjee,under,3,64,90,16,74,7,4,32,0,0,1,1,18,2,0
ENGLISH,143N,28189,001,Prose Nonfiction,Thomas Farber,under,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0
