Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
UGBA,154,13258,1D,Power & Politic,Edward Kass,under,0,10,11,5,1,2,1,0,0,0,0,0,0,0,0
COLWRIT,R4B,14310,002,"Read,Comp,Research",Aparajita Nanda,under,0,3,5,3,3,1,0,0,0,0,0,0,1,0,0
CHICANO,110,13461,001,Latina/O Phil & Rel,Lara Medina,under,3,8,7,0,0,0,0,0,0,0,0,0,0,1,0
UGBA,132,13217,001A,Fin Instit & Mrkts,Samuel Olesky,under,2,8,7,7,8,4,1,3,0,0,0,0,0,2,2
ESPM,15,14589,002,Intro Environ Sci,Christine Gehrig-Downie; Christine Gehrig-Downie,under,1,5,6,3,7,6,2,4,0,3,1,1,0,4,0
INTEGBI,131L,13688,001,Human Anatomy Lab,Betsabe Castro Escobar; Kamla Ahluwalia; Robert Dudley,under,0,3,0,1,2,4,2,6,0,1,0,0,0,0,0
MATH,N55,15643,001,Discrete Math,David Casey; Richard Borcherds,under,3,5,3,4,9,1,2,3,3,0,0,0,2,1,0
MATH,N1B,15621,003,Calculus,Frederick Huang; Richard Borcherds,under,3,7,1,4,1,1,4,3,3,0,0,0,0,0,0
ETH STD,197,11845,004,Field Study,Dewey St Germaine; Luisa Giulianetti,under,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2
ETH STD,101B,13607,001,Humanities Methods,Keith Feldman,under,0,2,3,3,1,3,1,1,0,0,0,0,0,0,0
MATH,N55,15645,003,Discrete Math,Alois Cerbu; Richard Borcherds,under,2,8,3,3,6,3,1,2,0,0,0,0,0,2,0
COMPSCI,61BL,14647,001,Data Strs Prog Meth,Christine Zhou; Daniel Garcia; Jackson Leisure; Matthew Sit,under,21,37,63,56,42,24,7,12,7,3,1,0,14,14,8
SOC WEL,105,14986,001,Intro Chld Welf,Denicia Carlay,under,11,15,1,1,1,0,1,0,0,0,0,0,0,0,0
COLWRIT,W3B,16003,002,Busines Oral Online,David Wiese; Dzhambul Akkaziev; Margi Wald,under,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7
