Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
CHEM,4A,1,K Whaley; Ronald Cohen,4,11,35,49,49,44,25,9,5,,3,,3,3,,2,,1
CHEM,15,1,Kristie Boering,3,27,15,6,9,,,1,,,,,,1,,1,,
CHEM,24,1,William Lester,,,,,,,,,,,,,,16,,1,,
CHEM,96,1,Avery Lindeman; Ming Hammond,,,,,,,,,,,,,,129,,3,,
CHEM,103,1,Christopher Chang; Eva Nichols; Karla Ramos-Torres,2,18,15,9,7,9,4,3,4,,,,,3,,,,
CHEM,104A,1,Andy Nguyen; James Dombrowski; Patrick Smith; T Tilley,3,6,7,10,13,11,7,15,10,,6,,6,1,,1,,
CHEM,105,1,Evan Williams,2,3,1,1,2,2,,,1,,,,,,,,,
CHEM,108,1,Richard Andersen,,8,2,2,2,3,,,,,,,,,,,,
CHEM,C110L,1,Andreas Martin; Isabelle Le Blanc,1,2,3,2,2,,1,,,,,,,,,,,
CHEM,112A,1,Anne Baranger,,15,20,24,35,20,15,20,8,1,2,,,,,3,,1
CHEM,113,1,Felix Fischer; Ryan Cloke; Wade Perkins,8,7,4,7,7,6,8,1,1,,1,,,2,,,,1
CHEM,115,1,Michelle Chang,,7,1,2,,,,,,,,,,,,,,
CHEM,120A,1,David Chandler; Katherine Klymko; Kelsey Schuster,,8,4,1,10,1,,7,3,,,,2,,,,,
CHEM,120B,1,Daniele Monahan; Kevin Pollock; Naomi Ginsberg; Richard Kwant,2,21,22,11,16,22,7,18,12,,,,1,,,,,3
CHEM,125,1,David Savage,,13,1,1,3,1,,2,,,,,,,,,,
CHEM,135,1,Ioana Aanei; Kanwal Palla; Matthew Francis; Michael Blaisse,5,37,13,16,37,17,6,15,10,,3,,2,2,1,2,,1
CHEM,143,1,Luciano Moretto; Peter Lake,1,1,,2,1,2,1,2,,,,,,,,,,
CY PLAN,110,1,James Buckley,2,19,22,19,18,4,2,1,3,,,,2,4,,4,,3
CY PLAN,115,1,Ananya Roy,2,53,55,48,24,9,3,,1,1,,,2,11,,2,,
CY PLAN,C139,1,Alison Post,,3,1,8,7,4,2,,,,,,,1,,2,,
CY PLAN,140,1,Craig Toocheck; John Ellis; Leah Stockstrom,1,19,30,24,5,,,,,,,,,,,,,
CY PLAN,190,1,Michael Dear; Sydney Cespedes,2,4,6,4,2,,1,,,,,,,1,,1,,
CY PLAN,190,2,Heba Mostafa,2,7,1,1,,,,,,,,,,,,,,
