Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
MUSIC,150A,1,Alicia Telford; Antoine Van Dongen; David Granger; David Milnes; Ellen Rose; Hrafnhildur Atladottir; Irene Sharp; Jonathan Koh; Leighton Fong; Loren Mach; Maria Tamburrino; Richard Worn; Sarah Rathke; William Harvey,1,15,,,,,,,,,,,,,,,,
SLAVIC,R5B,2,Antje Postema,,7,9,,,,,,,,,,,,,,,
ART,198,5,Allan Desouza,,,,,,,,,,,,,,15,,1,,
PB HLTH,198,3,Kristine Madsen,,,,,,,,,,,,,,15,,1,,
CHEM,299,59,Dean Toste,,15,,,,,,,,,,,,,1,,,
MATH,198BC,3,Antonio Montalban; Edward Scerbo,,,,,,,,,,,,,,15,,1,,
CHICANO,R1A,1,Raul Coronado; Rosalinda Godinez,,11,5,,,,,,,,,,,,,,,
MUSIC,198BC,1,Elizabeth De Martelly; Ken Ueno,,,,,,,,,,,,,,14,,2,,
HMEDSCI,200B,1,Hana Dan-Cohen; Jennifer Breckler; Susan Ivey,,15,1,,,,,,,,,,,,,,,
PB HLTH,206C,1,Barbara Laraia,7,9,,,,,,,,,,,,,,,,
PB HLTH,281,1,Douglas Oman,,14,,,,,,,,,,,,,2,,,
SOCIOL,198BC,6,Griselda Mora,,,,,,,,,,,,,,15,,1,,
PUB POL,290,15,Brent Copen,,15,,,,,,,,,,,,,1,,,
ECON,231,1,Gabriel Zucman,,12,,,,,,,,,,,,,5,,,
STAT,C205B,1,David Aldous,,16,,,,,,,,,,,,,,1,,
SOCIOL,198,6,Jill Bakehorn,,,,,,,,,,,,,,16,,1,,
PUB POL,290,1,Alexander Gelber,,14,3,,,,,,,,,,,,,,,
THEATER,R1B,9,Sima Belmar,,13,,4,,,,,,,,,,,,,,
ECON,271,1,Benjamin Faber,,12,,,,,,,,,,,,,5,,,
IND ENG,265,1,Anil Aswani; Pedro Hespanhol,,16,,,,,,,,,,,1,,,,,
ASAMST,197,1,Khatharya Um; Rita Zhang,,,,,,,,,,,,,,16,,1,,
ART,13,2,Craig Nagasawa,,16,,,,,,,,,,,,1,,,,
VIS STD,98BC,1,Amina Al-kandari; C Crysler,,,,,,,,,,,,,,15,,2,,
FRENCH,R1B,2,Michelle Koerner,5,12,,,,,,,,,,,,,,,,
INTEGBI,248,1,Gary Firestone,,,,,,,,,,,,,,5,12,,,
EDUC,275L,1,Sophia Rabe-Hesketh,9,8,,,,,,,,,,,,,,,,
PHYS ED,3,3,Elmar Stefke,,,,,,,1,,,,,,,16,,,,
ASAMST,198,4,Harvey Dong,,,,,,,,,,,,,,16,,1,,
ECON,84,1,R Brown,,,,,,,,,,,,,,16,,1,,
ART,102,1,Craig Nagasawa,4,14,,,,,,,,,,,,,,,,
