Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,24655,,24655,,24655,Chiyuma Elliott,,African American Studies,101,001,Credit,Non-Letter Grade,Satisfactory,Research Methods
2,30421,,30421,,30421,Sam Mchombo,,African American Studies,114,001,A,Letter Grade,A+,Intro African Ling
3,30421,,30421,,30421,Sam Mchombo,,African American Studies,114,001,A,Letter Grade,A,Intro African Ling
2,30421,,30421,,30421,Sam Mchombo,,African American Studies,114,001,A,Letter Grade,A-,Intro African Ling
1,30421,,30421,,30421,Sam Mchombo,,African American Studies,114,001,B,Letter Grade,B+,Intro African Ling
1,30421,,30421,,30421,Sam Mchombo,,African American Studies,114,001,Credit,Non-Letter Grade,Pass,Intro African Ling
10,30420,,30420,,30420,Ula Taylor,,African American Studies,116,001,A,Letter Grade,A,Slavery And African
6,30420,,30420,,30420,Ula Taylor,,African American Studies,116,001,A,Letter Grade,A-,Slavery And African
4,30420,,30420,,30420,Ula Taylor,,African American Studies,116,001,B,Letter Grade,B+,Slavery And African
4,30420,,30420,,30420,Ula Taylor,,African American Studies,116,001,B,Letter Grade,B,Slavery And African
3,30420,,30420,,30420,Ula Taylor,,African American Studies,116,001,B,Letter Grade,B-,Slavery And African
3,30420,,30420,,30420,Ula Taylor,,African American Studies,116,001,C,Letter Grade,C+,Slavery And African
3,30420,,30420,,30420,Ula Taylor,,African American Studies,116,001,C,Letter Grade,C-,Slavery And African
1,30420,,30420,,30420,Ula Taylor,,African American Studies,116,001,D,Letter Grade,D-,Slavery And African
4,30420,,30420,,30420,Ula Taylor,,African American Studies,116,001,F,Letter Grade,F,Slavery And African
3,30420,,30420,,30420,Ula Taylor,,African American Studies,116,001,Credit,Non-Letter Grade,Pass,Slavery And African
1,30420,,30420,,30420,Ula Taylor,,African American Studies,116,001,No Credit,Non-Letter Grade,Not Pass,Slavery And African
25,25447,,25447,,25447,Travis Bristol; Hoyun Kim,,African American Studies,C133A,001,A,Letter Grade,A,Race Urban Sch
7,25447,,25447,,25447,Travis Bristol; Hoyun Kim,,African American Studies,C133A,001,A,Letter Grade,A-,Race Urban Sch
2,25447,,25447,,25447,Travis Bristol; Hoyun Kim,,African American Studies,C133A,001,B,Letter Grade,B+,Race Urban Sch
3,25447,,25447,,25447,Travis Bristol; Hoyun Kim,,African American Studies,C133A,001,Credit,Non-Letter Grade,Pass,Race Urban Sch
3,30422,,30422,,30422,Sam Mchombo,,African American Studies,159,01,A,Letter Grade,A+,Spec Top Afam Lit
5,30422,,30422,,30422,Sam Mchombo,,African American Studies,159,01,A,Letter Grade,A,Spec Top Afam Lit
5,30422,,30422,,30422,Sam Mchombo,,African American Studies,159,01,A,Letter Grade,A-,Spec Top Afam Lit
4,30422,,30422,,30422,Sam Mchombo,,African American Studies,159,01,B,Letter Grade,B+,Spec Top Afam Lit
3,30422,,30422,,30422,Sam Mchombo,,African American Studies,159,01,B,Letter Grade,B,Spec Top Afam Lit
1,30422,,30422,,30422,Sam Mchombo,,African American Studies,159,01,B,Letter Grade,B-,Spec Top Afam Lit
1,30422,,30422,,30422,Sam Mchombo,,African American Studies,159,01,C,Letter Grade,C+,Spec Top Afam Lit
1,30422,,30422,,30422,Sam Mchombo,,African American Studies,159,01,C,Letter Grade,C,Spec Top Afam Lit
1,30422,,30422,,30422,Sam Mchombo,,African American Studies,159,01,Credit,Non-Letter Grade,Pass,Spec Top Afam Lit
