Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,20661,,20661,,20661,Rudabeh Pakravan,,Architecture,201,002,B,Letter Grade,B,Arch & Urban Std
1,20592,,20592,,20592,Rene Davids,,Architecture,201,003,A,Letter Grade,A+,Arch & Urban Std
9,20592,,20592,,20592,Rene Davids,,Architecture,201,003,A,Letter Grade,A,Arch & Urban Std
6,20592,,20592,,20592,Rene Davids,,Architecture,201,003,A,Letter Grade,A-,Arch & Urban Std
3,20594,,20594,,20594,Georgios Eftaxiopoulos,,Architecture,201,004,A,Letter Grade,A,Arch & Urban Std
7,20594,,20594,,20594,Georgios Eftaxiopoulos,,Architecture,201,004,A,Letter Grade,A-,Arch & Urban Std
1,20594,,20594,,20594,Georgios Eftaxiopoulos,,Architecture,201,004,B,Letter Grade,B+,Arch & Urban Std
2,20594,,20594,,20594,Georgios Eftaxiopoulos,,Architecture,201,004,B,Letter Grade,B,Arch & Urban Std
1,20594,,20594,,20594,Georgios Eftaxiopoulos,,Architecture,201,004,B,Letter Grade,B-,Arch & Urban Std
4,20596,,20596,,20596,Diego Garcia-Setien,,Architecture,201,005,A,Letter Grade,A+,Arch & Urban Std
3,20596,,20596,,20596,Diego Garcia-Setien,,Architecture,201,005,A,Letter Grade,A,Arch & Urban Std
5,20596,,20596,,20596,Diego Garcia-Setien,,Architecture,201,005,A,Letter Grade,A-,Arch & Urban Std
2,20596,,20596,,20596,Diego Garcia-Setien,,Architecture,201,005,B,Letter Grade,B+,Arch & Urban Std
1,20596,,20596,,20596,Diego Garcia-Setien,,Architecture,201,005,B,Letter Grade,B,Arch & Urban Std
8,20626,,20626,,20626,Luisa Caldas; Simon Schleicher; Benjamin Corotis,,Architecture,203,004,A,Letter Grade,A,Integrated Studio
7,20626,,20626,,20626,Luisa Caldas; Simon Schleicher; Benjamin Corotis,,Architecture,203,004,A,Letter Grade,A-,Integrated Studio
1,20626,,20626,,20626,Luisa Caldas; Simon Schleicher; Benjamin Corotis,,Architecture,203,004,B,Letter Grade,B+,Integrated Studio
4,20627,,20627,,20627,Luisa Caldas; Elizabeth Bishop; Benjamin Corotis,,Architecture,203,005,A,Letter Grade,A,Integrated Studio
7,20627,,20627,,20627,Luisa Caldas; Elizabeth Bishop; Benjamin Corotis,,Architecture,203,005,A,Letter Grade,A-,Integrated Studio
1,20627,,20627,,20627,Luisa Caldas; Elizabeth Bishop; Benjamin Corotis,,Architecture,203,005,B,Letter Grade,B,Integrated Studio
6,20632,,20632,,20632,Luisa Caldas; David Jaehning; Benjamin Corotis,,Architecture,203,006,A,Letter Grade,A,Integrated Studio
8,20632,,20632,,20632,Luisa Caldas; David Jaehning; Benjamin Corotis,,Architecture,203,006,A,Letter Grade,A-,Integrated Studio
2,20632,,20632,,20632,Luisa Caldas; David Jaehning; Benjamin Corotis,,Architecture,203,006,B,Letter Grade,B+,Integrated Studio
6,20640,,20640,,20640,Luisa Caldas; Jasmit Rangr; Benjamin Corotis,,Architecture,203,007,A,Letter Grade,A,Integrated Studio
4,20640,,20640,,20640,Luisa Caldas; Jasmit Rangr; Benjamin Corotis,,Architecture,203,007,A,Letter Grade,A-,Integrated Studio
2,20640,,20640,,20640,Luisa Caldas; Jasmit Rangr; Benjamin Corotis,,Architecture,203,007,B,Letter Grade,B+,Integrated Studio
8,20687,,20687,,20687,Luisa Caldas; Daniel Spiegel; Benjamin Corotis,,Architecture,203,008,A,Letter Grade,A,Integrated Studio
6,20687,,20687,,20687,Luisa Caldas; Daniel Spiegel; Benjamin Corotis,,Architecture,203,008,A,Letter Grade,A-,Integrated Studio
2,20687,,20687,,20687,Luisa Caldas; Daniel Spiegel; Benjamin Corotis,,Architecture,203,008,B,Letter Grade,B+,Integrated Studio
16,20584,,20584,,20584,Mark Anderson,,Architecture,204A,004,A,Letter Grade,A,Thesis Seminar
14,20605,,20605,,20605,Rene Davids,,Architecture,204A,005,A,Letter Grade,A,Thesis Seminar
4,20639,,20639,,20639,Neyran Turan,,Architecture,204A,006,A,Letter Grade,A,Thesis Seminar
5,20639,,20639,,20639,Neyran Turan,,Architecture,204A,006,A,Letter Grade,A-,Thesis Seminar
5,20639,,20639,,20639,Neyran Turan,,Architecture,204A,006,B,Letter Grade,B+,Thesis Seminar
1,20639,,20639,,20639,Neyran Turan,,Architecture,204A,006,B,Letter Grade,B-,Thesis Seminar
6,32579,,32579,,32579,Maria Alvarez Garcia,,Architecture,204A,007,A,Letter Grade,A,Thesis Seminar
3,32579,,32579,,32579,Maria Alvarez Garcia,,Architecture,204A,007,A,Letter Grade,A-,Thesis Seminar
