Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
8,15729,,15729,,15729,Vinicio De Sola,,Data Science,205,005,A,Letter Grade,A,Fund. Data Eng
1,15729,,15729,,15729,Vinicio De Sola,,Data Science,205,005,A,Letter Grade,A-,Fund. Data Eng
6,15730,,15730,,15730,Vinicio De Sola,,Data Science,205,006,A,Letter Grade,A+,Fund. Data Eng
9,15730,,15730,,15730,Vinicio De Sola,,Data Science,205,006,A,Letter Grade,A,Fund. Data Eng
6,15731,,15731,,15731,Shiraz Chakraverty,,Data Science,205,007,A,Letter Grade,A+,Fund. Data Eng
5,15731,,15731,,15731,Shiraz Chakraverty,,Data Science,205,007,A,Letter Grade,A,Fund. Data Eng
1,15731,,15731,,15731,Shiraz Chakraverty,,Data Science,205,007,B,Letter Grade,B+,Fund. Data Eng
1,15732,,15732,,15732,Kevin Crook,,Data Science,205,008,A,Letter Grade,A+,Fund. Data Eng
15,15732,,15732,,15732,Kevin Crook,,Data Science,205,008,A,Letter Grade,A,Fund. Data Eng
6,15733,,15733,,15733,Kevin Crook,,Data Science,205,009,A,Letter Grade,A+,Fund. Data Eng
10,15733,,15733,,15733,Kevin Crook,,Data Science,205,009,A,Letter Grade,A,Fund. Data Eng
1,15827,,15827,,15827,Amit Bhattacharyya,,Data Science,207,001,A,Letter Grade,A+,Applied Mach Learn
16,15827,,15827,,15827,Amit Bhattacharyya,,Data Science,207,001,A,Letter Grade,A,Applied Mach Learn
16,15828,,15828,,15828,Nedelina Teneva,,Data Science,207,002,A,Letter Grade,A,Applied Mach Learn
1,15828,,15828,,15828,Nedelina Teneva,,Data Science,207,002,A,Letter Grade,A-,Applied Mach Learn
14,15829,,15829,,15829,Nedelina Teneva,,Data Science,207,003,A,Letter Grade,A,Applied Mach Learn
2,15830,,15830,,15830,John Santerre,,Data Science,207,004,A,Letter Grade,A+,Applied Mach Learn
15,15830,,15830,,15830,John Santerre,,Data Science,207,004,A,Letter Grade,A,Applied Mach Learn
17,15831,,15831,,15831,Cornelia Ilin,,Data Science,207,005,A,Letter Grade,A,Applied Mach Learn
15,15832,,15832,,15832,Cornelia Ilin,,Data Science,207,006,A,Letter Grade,A,Applied Mach Learn
2,15832,,15832,,15832,Cornelia Ilin,,Data Science,207,006,A,Letter Grade,A-,Applied Mach Learn
13,15833,,15833,,15833,Ishaani Priyadarshini,,Data Science,207,007,A,Letter Grade,A,Applied Mach Learn
1,15833,,15833,,15833,Ishaani Priyadarshini,,Data Science,207,007,A,Letter Grade,A-,Applied Mach Learn
2,15833,,15833,,15833,Ishaani Priyadarshini,,Data Science,207,007,B,Letter Grade,B+,Applied Mach Learn
14,15834,,15834,,15834,Uri Schonfeld,,Data Science,207,008,A,Letter Grade,A,Applied Mach Learn
1,15834,,15834,,15834,Uri Schonfeld,,Data Science,207,008,A,Letter Grade,A-,Applied Mach Learn
1,15927,,15927,,15927,John Santerre,,Data Science,207,009,A,Letter Grade,A+,Applied Mach Learn
12,15927,,15927,,15927,John Santerre,,Data Science,207,009,A,Letter Grade,A,Applied Mach Learn
2,15927,,15927,,15927,John Santerre,,Data Science,207,009,A,Letter Grade,A-,Applied Mach Learn
14,15835,,15835,,15835,Andrew Reagan,,Data Science,209,001,A,Letter Grade,A,Data Viz
5,15836,,15836,,15836,Mak Ahmad,,Data Science,209,002,A,Letter Grade,A+,Data Viz
1,15836,,15836,,15836,Mak Ahmad,,Data Science,209,002,A,Letter Grade,A,Data Viz
1,15836,,15836,,15836,Mak Ahmad,,Data Science,209,002,A,Letter Grade,A-,Data Viz
1,15836,,15836,,15836,Mak Ahmad,,Data Science,209,002,B,Letter Grade,B,Data Viz
7,15837,,15837,,15837,Mak Ahmad,,Data Science,209,003,A,Letter Grade,A+,Data Viz
3,15837,,15837,,15837,Mak Ahmad,,Data Science,209,003,A,Letter Grade,A,Data Viz
1,15837,,15837,,15837,Mak Ahmad,,Data Science,209,003,B,Letter Grade,B,Data Viz
12,15838,,15838,,15838,Clinton Brownley,,Data Science,209,004,A,Letter Grade,A,Data Viz
2,15838,,15838,,15838,Clinton Brownley,,Data Science,209,004,A,Letter Grade,A-,Data Viz
1,15838,,15838,,15838,Clinton Brownley,,Data Science,209,004,B,Letter Grade,B+,Data Viz
2,15839,,15839,,15839,Fereshteh Amini,,Data Science,209,005,A,Letter Grade,A+,Data Viz
9,15839,,15839,,15839,Fereshteh Amini,,Data Science,209,005,A,Letter Grade,A,Data Viz
1,15839,,15839,,15839,Fereshteh Amini,,Data Science,209,005,C,Letter Grade,C+,Data Viz
3,15840,,15840,,15840,Bum Chul Kwon,,Data Science,209,006,A,Letter Grade,A+,Data Viz
7,15840,,15840,,15840,Bum Chul Kwon,,Data Science,209,006,A,Letter Grade,A,Data Viz
2,15840,,15840,,15840,Bum Chul Kwon,,Data Science,209,006,A,Letter Grade,A-,Data Viz
3,15746,,15746,,15746,Joyce Shen; Zona Kostic,,Data Science,210,001,A,Letter Grade,A+,Capstone
11,15746,,15746,,15746,Joyce Shen; Zona Kostic,,Data Science,210,001,A,Letter Grade,A,Capstone
1,15746,,15746,,15746,Joyce Shen; Zona Kostic,,Data Science,210,001,B,Letter Grade,B,Capstone
15,15747,,15747,,15747,Alberto Todeschini; Cornelia Ilin,,Data Science,210,002,A,Letter Grade,A,Capstone
1,15747,,15747,,15747,Alberto Todeschini; Cornelia Ilin,,Data Science,210,002,A,Letter Grade,A-,Capstone
8,15748,,15748,,15748,Puya Vahabi; Frederick Nugen,,Data Science,210,003,A,Letter Grade,A,Capstone
1,15748,,15748,,15748,Puya Vahabi; Frederick Nugen,,Data Science,210,003,B,Letter Grade,B,Capstone
11,15749,,15749,,15749,Alberto Todeschini; Puya Vahabi,,Data Science,210,004,A,Letter Grade,A,Capstone
2,15749,,15749,,15749,Alberto Todeschini; Puya Vahabi,,Data Science,210,004,A,Letter Grade,A-,Capstone
6,15750,,15750,,15750,Frederick Nugen; Ramesh Sarukkai,,Data Science,210,005,A,Letter Grade,A,Capstone
1,15750,,15750,,15750,Frederick Nugen; Ramesh Sarukkai,,Data Science,210,005,A,Letter Grade,A-,Capstone
1,15750,,15750,,15750,Frederick Nugen; Ramesh Sarukkai,,Data Science,210,005,B,Letter Grade,B,Capstone
16,15751,,15751,,15751,Alberto Todeschini; Joyce Shen,,Data Science,210,006,A,Letter Grade,A,Capstone
16,15752,,15752,,15752,Joyce Shen; Cornelia Ilin,,Data Science,210,007,A,Letter Grade,A,Capstone
6,15753,,15753,,15753,Alberto Todeschini; Cornelia Ilin,,Data Science,210,008,A,Letter Grade,A+,Capstone
8,15753,,15753,,15753,Alberto Todeschini; Cornelia Ilin,,Data Science,210,008,A,Letter Grade,A,Capstone
