Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,14399,,14399,,14399,Boubacar Kante,,Applied Science & Tech,299,002,Credit,Non-Letter Grade,Satisfactory,Individual Research
3,14401,,14401,,14401,Feng Wang,,Applied Science & Tech,299,004,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14403,,14403,,14403,K Whaley,,Applied Science & Tech,299,006,Credit,Non-Letter Grade,Satisfactory,Individual Research
3,14404,,14404,,14404,Jie Yao,,Applied Science & Tech,299,007,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,14405,,14405,,14405,Phillip Colella,,Applied Science & Tech,299,008,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14406,,14406,,14406,Na Ji,,Applied Science & Tech,299,009,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14407,,14407,,14407,Jasmina Vujic,,Applied Science & Tech,299,010,Credit,Non-Letter Grade,Satisfactory,Individual Research
3,14408,,14408,,14408,Hartmut Haeffner,,Applied Science & Tech,299,011,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14409,,14409,,14409,Carl Schroeder,,Applied Science & Tech,299,012,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14410,,14410,,14410,Lane Martin,,Applied Science & Tech,299,013,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14411,,14411,,14411,Ali Javey,,Applied Science & Tech,299,014,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14413,,14413,,14413,Seung-Wuk Lee,,Applied Science & Tech,299,016,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,14417,,14417,,14417,Irfan Siddiqi,,Applied Science & Tech,299,020,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14419,,14419,,14419,Constance Chang-Hasnain,,Applied Science & Tech,299,022,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14421,,14421,,14421,Sayeef Salahuddin,,Applied Science & Tech,299,024,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,14426,,14426,,14426,Ting Xu,,Applied Science & Tech,299,029,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14429,,14429,,14429,Laura Waller,,Applied Science & Tech,299,032,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14430,,14430,,14430,Mark Asta,,Applied Science & Tech,299,033,Credit,Non-Letter Grade,Satisfactory,Individual Research
6,29868,,29868,,29868,Daniel Spiegel,,Architecture,200B,001,A,Letter Grade,A,Intro Arch Std 2
4,29868,,29868,,29868,Daniel Spiegel,,Architecture,200B,001,A,Letter Grade,A-,Intro Arch Std 2
2,29868,,29868,,29868,Daniel Spiegel,,Architecture,200B,001,B,Letter Grade,B+,Intro Arch Std 2
1,29868,,29868,,29868,Daniel Spiegel,,Architecture,200B,001,B,Letter Grade,B,Intro Arch Std 2
4,30041,,30041,,30041,Alissa Chastain,,Architecture,200B,002,A,Letter Grade,A,Intro Arch Std 2
6,30041,,30041,,30041,Alissa Chastain,,Architecture,200B,002,A,Letter Grade,A-,Intro Arch Std 2
1,30041,,30041,,30041,Alissa Chastain,,Architecture,200B,002,B,Letter Grade,B+,Intro Arch Std 2
2,30041,,30041,,30041,Alissa Chastain,,Architecture,200B,002,B,Letter Grade,B,Intro Arch Std 2
5,30042,,30042,,30042,Javier Arizmendi,,Architecture,200B,003,A,Letter Grade,A,Intro Arch Std 2
6,30042,,30042,,30042,Javier Arizmendi,,Architecture,200B,003,A,Letter Grade,A-,Intro Arch Std 2
1,30042,,30042,,30042,Javier Arizmendi,,Architecture,200B,003,B,Letter Grade,B+,Intro Arch Std 2
1,30042,,30042,,30042,Javier Arizmendi,,Architecture,200B,003,B,Letter Grade,B,Intro Arch Std 2
5,30076,,30076,,30076,Kyle Steinfeld; William Atwood; Lucine Lu,,Architecture,200D,001,A,Letter Grade,A+,Rep Prac Design Ii
7,30076,,30076,,30076,Kyle Steinfeld; William Atwood; Lucine Lu,,Architecture,200D,001,A,Letter Grade,A,Rep Prac Design Ii
5,30076,,30076,,30076,Kyle Steinfeld; William Atwood; Lucine Lu,,Architecture,200D,001,A,Letter Grade,A-,Rep Prac Design Ii
9,30076,,30076,,30076,Kyle Steinfeld; William Atwood; Lucine Lu,,Architecture,200D,001,B,Letter Grade,B+,Rep Prac Design Ii
11,30076,,30076,,30076,Kyle Steinfeld; William Atwood; Lucine Lu,,Architecture,200D,001,B,Letter Grade,B,Rep Prac Design Ii
1,30076,,30076,,30076,Kyle Steinfeld; William Atwood; Lucine Lu,,Architecture,200D,001,F,Letter Grade,F,Rep Prac Design Ii
3,29870,,29870,,29870,Lyndon Neri; Rossana Hu; Christina Cho Yoo,,Architecture,202,002,A,Letter Grade,A+,Grad Option Std
4,29870,,29870,,29870,Lyndon Neri; Rossana Hu; Christina Cho Yoo,,Architecture,202,002,A,Letter Grade,A,Grad Option Std
4,29870,,29870,,29870,Lyndon Neri; Rossana Hu; Christina Cho Yoo,,Architecture,202,002,A,Letter Grade,A-,Grad Option Std
3,29870,,29870,,29870,Lyndon Neri; Rossana Hu; Christina Cho Yoo,,Architecture,202,002,B,Letter Grade,B+,Grad Option Std
1,29870,,29870,,29870,Lyndon Neri; Rossana Hu; Christina Cho Yoo,,Architecture,202,002,B,Letter Grade,B,Grad Option Std
5,29968,,29968,,29968,Alan Ricks; Jeffrey Mansfield,,Architecture,202,004,A,Letter Grade,A,Grad Option Std
1,29968,,29968,,29968,Alan Ricks; Jeffrey Mansfield,,Architecture,202,004,A,Letter Grade,A-,Grad Option Std
9,29968,,29968,,29968,Alan Ricks; Jeffrey Mansfield,,Architecture,202,004,B,Letter Grade,B+,Grad Option Std
2,30043,,30043,,30043,Tomas Mckay Alliende,,Architecture,202,005,A,Letter Grade,A+,Grad Option Std
4,30043,,30043,,30043,Tomas Mckay Alliende,,Architecture,202,005,A,Letter Grade,A,Grad Option Std
2,30043,,30043,,30043,Tomas Mckay Alliende,,Architecture,202,005,A,Letter Grade,A-,Grad Option Std
1,30043,,30043,,30043,Tomas Mckay Alliende,,Architecture,202,005,B,Letter Grade,B+,Grad Option Std
1,30043,,30043,,30043,Tomas Mckay Alliende,,Architecture,202,005,B,Letter Grade,B,Grad Option Std
4,30027,,30027,,30027,Neyran Turan,,Architecture,204B,001,A,Letter Grade,A,Thesis Studio
10,30027,,30027,,30027,Neyran Turan,,Architecture,204B,001,A,Letter Grade,A-,Thesis Studio
1,30027,,30027,,30027,Neyran Turan,,Architecture,204B,001,B,Letter Grade,B+,Thesis Studio
1,30027,,30027,,30027,Neyran Turan,,Architecture,204B,001,B,Letter Grade,B-,Thesis Studio
4,30028,,30028,,30028,Mark Anderson,,Architecture,204B,002,A,Letter Grade,A+,Thesis Studio
12,30028,,30028,,30028,Mark Anderson,,Architecture,204B,002,A,Letter Grade,A,Thesis Studio
6,30029,,30029,,30029,Rene Davids,,Architecture,204B,003,A,Letter Grade,A+,Thesis Studio
8,30029,,30029,,30029,Rene Davids,,Architecture,204B,003,A,Letter Grade,A,Thesis Studio
3,30030,,30030,,30030,James Leng,,Architecture,204B,004,A,Letter Grade,A,Thesis Studio
1,30030,,30030,,30030,James Leng,,Architecture,204B,004,A,Letter Grade,A-,Thesis Studio
5,30030,,30030,,30030,James Leng,,Architecture,204B,004,B,Letter Grade,B+,Thesis Studio
6,30030,,30030,,30030,James Leng,,Architecture,204B,004,B,Letter Grade,B,Thesis Studio
1,30030,,30030,,30030,James Leng,,Architecture,204B,004,B,Letter Grade,B-,Thesis Studio
4,32990,,32990,,32990,Maria Alvarez Garcia,,Architecture,204B,005,A,Letter Grade,A+,Thesis Studio
4,32990,,32990,,32990,Maria Alvarez Garcia,,Architecture,204B,005,A,Letter Grade,A,Thesis Studio
2,32990,,32990,,32990,Maria Alvarez Garcia,,Architecture,204B,005,A,Letter Grade,A-,Thesis Studio
2,32990,,32990,,32990,Maria Alvarez Garcia,,Architecture,204B,005,B,Letter Grade,B+,Thesis Studio
9,29871,,29871,,29871,Maria Paz Gutierrez,,Architecture,205B,001,A,Letter Grade,A+,"Studio One, Spring"
2,29871,,29871,,29871,Maria Paz Gutierrez,,Architecture,205B,001,A,Letter Grade,A,"Studio One, Spring"
30,29873,,29873,,29873,Robert Bracamonte,,Architecture,207D,001,A,Letter Grade,A+,Culture Of Practice
25,29873,,29873,,29873,Robert Bracamonte,,Architecture,207D,001,A,Letter Grade,A,Culture Of Practice
4,29873,,29873,,29873,Robert Bracamonte,,Architecture,207D,001,B,Letter Grade,B+,Culture Of Practice
7,29873,,29873,,29873,Robert Bracamonte,,Architecture,207D,001,B,Letter Grade,B,Culture Of Practice
5,17101,,17101,,17101,Georgios Eftaxiopoulos,,Architecture,229,1,A,Letter Grade,A+,Digit Des Thry Meth
3,17101,,17101,,17101,Georgios Eftaxiopoulos,,Architecture,229,1,A,Letter Grade,A,Digit Des Thry Meth
