Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,31771,,31771,,31771,Sarumathi Jayaraman,,African American Studies,182AC,001,B,Letter Grade,B+,Social Movements An
8,31771,,31771,,31771,Sarumathi Jayaraman,,African American Studies,182AC,001,Credit,Non-Letter Grade,Pass,Social Movements An
18,23765,,23765,,23765,Takiyah Jackson,,African American Studies,194B,001,A,Letter Grade,A,Aatp Seminar
15,23765,,23765,,23765,Takiyah Jackson,,African American Studies,194B,001,B,Letter Grade,B,Aatp Seminar
2,23765,,23765,,23765,Takiyah Jackson,,African American Studies,194B,001,C,Letter Grade,C,Aatp Seminar
42,33404,,33404,,33404,Takiyah Jackson,,African American Studies,194B,002,A,Letter Grade,A,Aatp Seminar
2,33404,,33404,,33404,Takiyah Jackson,,African American Studies,194B,002,B,Letter Grade,B,Aatp Seminar
2,24245,,24245,,24245,Nikki Jones,,African American Studies,H195,001,A,Letter Grade,A,Sr Honors Thesis
1,15437,,15437,,15437,Takiyah Jackson,,African American Studies,197,002,Credit,Non-Letter Grade,Pass,Field Study
5,20908,,20908,,20908,Nikki Jones,,African American Studies,198,001,Credit,Non-Letter Grade,Pass,Directed Group Stdy
32,20909,,20909,,20909,Leigh Raiford,,African American Studies,198,002,Credit,Non-Letter Grade,Pass,Directed Group Stdy
17,17062,,17062,,17062,Keith Feldman,,African American Studies,198BC,001,Credit,Non-Letter Grade,Pass,Directed Group Stud
2,17062,,17062,,17062,Keith Feldman,,African American Studies,198BC,001,No Credit,Non-Letter Grade,Not Pass,Directed Group Stud
3,18271,,18271,,18271,Leigh Raiford,,African American Studies,199,001,Credit,Non-Letter Grade,Pass,Superv Indep Study
4,24437,,24437,,24437,Darieck Scott,,African American Studies,240,001,A,Letter Grade,A+,Spec Topics
5,24437,,24437,,24437,Darieck Scott,,African American Studies,240,001,A,Letter Grade,A,Spec Topics
2,33290,,33290,,33290,Micah Khater,,African American Studies,241,001,A,Letter Grade,A+,Spec Topics
6,33290,,33290,,33290,Micah Khater,,African American Studies,241,001,A,Letter Grade,A,Spec Topics
1,33290,,33290,,33290,Micah Khater,,African American Studies,241,001,A,Letter Grade,A-,Spec Topics
1,33290,,33290,,33290,Micah Khater,,African American Studies,241,001,B,Letter Grade,B+,Spec Topics
1,33290,,33290,,33290,Micah Khater,,African American Studies,241,001,Credit,Non-Letter Grade,Satisfactory,Spec Topics
